form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00683250,500431943,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-02-11,632.00,0.00,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500431960,,,ORG,"Caesar's Entertainment, Inc.",,,,,,100 W Liberty St,,Reno,NV,895011962,,,2024-02-12,31.80,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500431966,,,ORG,"Caesar's Entertainment, Inc.",,,,,,100 W Liberty St,,Reno,NV,895011962,,,2024-02-12,94.71,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500432638,,,ORG,"Caesar's Entertainment, Inc.",,,,,,100 W Liberty St,,Reno,NV,895011962,,,2024-02-13,80.45,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500432648,,,ORG,"Caesar's Entertainment, Inc.",,,,,,100 W Liberty St,,Reno,NV,895011962,,,2024-02-14,56.63,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500432649,,,ORG,"Caesar's Entertainment, Inc.",,,,,,100 W Liberty St,,Reno,NV,895011962,,,2024-02-14,226.99,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500431759,,,ORG,Comcast Corporation And Affiliated Entities Including NBCUniversal Media LLC,,,,,,1 Comcast Ctr,,Philadelphia,PA,191032838,,,2024-02-07,5700.00,0.00,Event Tickets,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500432643,,,ORG,Hine Restaurants,,,,,,113 E 9Th St,,Los Angeles,CA,900151744,,,2024-02-14,1237.50,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500431955,,,ORG,Intuit,,,,,,7535 Torrey Santa Fe Rd,,San Diego,CA,921295704,,,2024-02-09,75.62,0.00,Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500432646,,,ORG,Intuit,,,,,,7535 Torrey Santa Fe Rd,,San Diego,CA,921295704,,,2024-02-15,63.60,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500431758,,,ORG,Paramount Global,,,,,,1275 Pennsylvania Ave NW,Ste 710,Washington,DC,200042448,,,2024-02-07,1900.00,0.00,Event Tickets,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500431765,,,ORG,Paramount Global,,,,,,1275 Pennsylvania Ave NW,Ste 710,Washington,DC,200042448,,,2024-02-22,3900.00,0.00,Event Tickets,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500432644,,,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-02-20,322.30,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500432645,,,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-02-20,322.30,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500433265,,,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-02-23,432.30,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500433266,,,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-02-23,532.30,0.00,Travel,,,,,,,,,,,,,,,,,,,,
