form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00716423,501133350,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-12-31,2271.11,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501068964,,,ORG,"Roger That Compliance, LLC",,,,,,PO Box 21662,,Washington,DC,200099662,,,2023-07-05,3000.00,0.00,Accounting and Compliance Services,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB21B,C00716423,501137191,,,ORG,The Next 50 Action,,,,,,1200 N St NW,,Washington,DC,200055187,,,2023-09-29,26000.00,0.00,Logistical and Communications Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501137192,,,ORG,The Next 50 Action,,,,,,1200 N St NW,,Washington,DC,200055187,,,2023-10-12,3000.00,0.00,Logistical and Communications Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501068951,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-07-10,25.00,0.00,Wire Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501068953,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-07-11,10.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB21B,C00716423,501137196,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-09-29,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501137197,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-09-29,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501137198,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-09-29,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501137202,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-10-03,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501137203,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-10-03,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501137201,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-10-23,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501137199,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-10-30,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501137200,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-10-30,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501137195,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-10-31,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501137194,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-11-30,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501137193,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2023-12-29,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
