form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00828152,SB21B.I10111,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST,STE 1770,NEW ORLEANS,LA,70112,,,2023-07-03,6581.10,,MERCHANT ACCOUNT FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828152,SB21B.I10096,,,ORG,COLDSPARK,,,,,,307 FOURTH AVENUE,14TH FLOOR,PITTSBURGH,PA,15222,,,2023-07-03,2500.00,,FINANCE/COMMUNICATIONS CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828152,SB21B.I10093,,,ORG,CONSERVATIVE CONNECTOR,,,,,,190 MONROE AVE NW,,GRAND RAPIDS,MI,49503,,,2023-07-03,1027.80,,LIST RENTAL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828152,SB21B.I10094,,,ORG,HDS,,,,,,633 NAPOR BOULEVARD,,PITTSBURGH,PA,15205,,,2023-07-03,22262.51,,MERCHANDISE: T-SHIRT/STICKER/CUP,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828152,SB21B.I10149,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST,STE 1770,NEW ORLEANS,LA,70112,,,2023-07-05,2706.10,,MERCHANT ACCOUNT FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828152,SB21B.I10150,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST,STE 1770,NEW ORLEANS,LA,70112,,,2023-07-05,400.30,,MERCHANT ACCOUNT FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828152,SB21B.I10112,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-07-05,2925.84,,PROCESSING FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828152,SB21B.I10171,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST,STE 1770,NEW ORLEANS,LA,70112,,,2023-07-07,40.30,,MERCHANT ACCOUNT FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828152,SB21B.I10167,,,ORG,STRATEGIC VICTORY SOLUTIONS,,,,,,1305 W 11TH STREET,#213,HOUSTON,TX,77008,,,2023-07-07,6500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828152,SB21B.I10170,,,ORG,"I360, LLC",,,,,,29374 NETWORK PLACE,,CHICAGO,IL,60673,,,2023-07-10,2500.00,,DATA SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,,
