form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00423079,500358910,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,071011270,,,2023-11-30,2019.74,0.00,Credit card (see below if itemized),,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500360866,500358910,SB21B,ORG,G&G Charters LLC,,,,,,PO Box 70,,Hardyville,VA,230700070,,,2023-10-28,1035.00,0.00,Fundraising event expense,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00423079,500350030,,,ORG,The Conrad Group,,,,,,410 1St St SE,Ste 310,Washington,DC,200031866,,,2023-10-11,2820.00,0.00,Fundraising consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500344290,,,ORG,Riggs Hotel,,,,,,900 F St NW,,Washington,DC,200041404,,,2023-08-28,2250.00,0.00,Fundraising event deposit,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500361572,,,ORG,"Winpisinger & Associates, Inc.",,,,,,315 Inspiration Ln,,Gaithersburg,MD,208785808,,,2023-07-06,290.81,0.00,Compliance consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500344413,,,ORG,"Winpisinger & Associates, Inc.",,,,,,315 Inspiration Ln,,Gaithersburg,MD,208785808,,,2023-08-30,150.00,0.00,Compliance consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500356034,,,ORG,House Gift Shop,,,,,,LONGWORTH BUILDING,,Washington,DC,205150001,,,2023-11-20,1012.30,0.00,Holiday gifts,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500357244,,,ORG,"Winpisinger & Associates, Inc.",,,,,,315 Inspiration Ln,,Gaithersburg,MD,208785808,,,2023-12-02,150.00,0.00,Compliance consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500353915,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-10-29,98.75,0.00,Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500346935,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-09-24,47.40,0.00,Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500348095,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-09-30,98.75,0.00,Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500350136,,,ORG,"Winpisinger & Associates, Inc.",,,,,,315 Inspiration Ln,,Gaithersburg,MD,208785808,,,2023-10-11,187.37,0.00,Compliance consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500361576,,,ORG,Riggs Hotel,,,,,,900 F St NW,,Washington,DC,200041404,,,2023-10-02,562.50,0.00,Fundraising event expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500351967,,,ORG,"NGP VAN, Inc.",,,,,,655 15Th St NW,Ste 650,Washington,DC,200055701,,,2023-10-19,300.00,0.00,Database,001,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500337087,,,ORG,The Conrad Group,,,,,,410 1St St SE,Ste 310,Washington,DC,200031866,,,2023-07-11,3800.00,0.00,Fundraising consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500354687,,,ORG,"Winpisinger & Associates, Inc.",,,,,,315 Inspiration Ln,,Gaithersburg,MD,208785808,,,2023-11-01,151.32,0.00,Compliance consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500339887,,,ORG,"NGP VAN, Inc.",,,,,,655 15Th St NW,Ste 650,Washington,DC,200055701,,,2023-07-05,300.00,0.00,Database,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500355289,,,ORG,La Collina,,,,,,747 C St SE,,Washington,DC,200034432,,,2023-09-28,317.15,0.00,Event catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500342299,,,ORG,"Winpisinger & Associates, Inc.",,,,,,315 Inspiration Ln,,Gaithersburg,MD,208785808,,,2023-07-30,180.07,0.00,Compliance consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00423079,500355999,,,ORG,Tides Inn,,,,,,480 King Carter Dr,,Irvington,VA,224802008,,,2023-11-27,17675.62,0.00,Fundraising event expenses,,,,,,,,,,,,,,,,,,,,
