form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00802389,500430677,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-06,40.00,2023-07-06,286.25,Staff time and emails for online message (via drawdown),,,S,P80000722,BIDEN,JOSEPH R JR,,,,P,,,Sonekan,Titi,,,,2024-01-31,
SE,C00802389,500430845,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-10,5.00,2023-07-10,165.00,Email Services (via drawdown),,,S,S4DE00060,Blunt Rochester,Lisa,,,,S,00,DE,Sonekan,Titi,,,,2024-01-31,
SE,C00802389,500430552,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-17,1.67,2023-07-17,235.35,Email Services (via drawdown),,,S,H2OH13264,SYKES,EMILIA,,,,H,13,OH,Sonekan,Titi,,,,2024-01-31,
SE,C00802389,500430553,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-17,1.67,2023-07-17,121.00,Email Services (via drawdown),,,S,H2OH09031,KAPTUR,MARCY,M.C.,,,H,09,OH,Sonekan,Titi,,,,2024-01-31,
SE,C00802389,500430554,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-17,1.66,2023-07-17,87.99,Email Services (via drawdown),,,S,H2OH01194,LANDSMAN,GREG,,,,H,01,OH,Sonekan,Titi,,,,2024-01-31,
SE,C00802389,500430555,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-20,1.67,2023-07-20,96.26,Email Services (via drawdown),,,S,H0MI03316,SCHOLTEN,HILLARY,,,,H,03,MI,Sonekan,Titi,,,,2024-01-31,
SE,C00802389,500430556,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-20,1.67,2023-07-20,221.25,Email Services (via drawdown),,,S,H2PA17079,CARTWRIGHT,MATT,,,,H,08,PA,Sonekan,Titi,,,,2024-01-31,
SE,C00802389,500430557,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-20,1.66,2023-07-20,96.24,Email Services (via drawdown),,,S,H2PA17103,DELUZIO,CHRISTOPHER,,,,H,17,PA,Sonekan,Titi,,,,2024-01-31,
SE,C00802389,500430558,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-24,1.25,2023-07-24,74.25,Email Services (via drawdown),,,S,H0IN01150,MRVAN,FRANK J,,,,H,01,IN,Sonekan,Titi,,,,2024-01-31,
SE,C00802389,500430559,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-24,1.25,2023-07-24,74.25,Email Services (via drawdown),,,S,H8NH01210,PAPPAS,CHRIS,,,,H,01,NH,Sonekan,Titi,,,,2024-01-31,
