form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00139659,SB23.58997,,,CCM,ADAM FOR COLORADO,,,,,,PO BOX 371,,WOODY CREEK,CO,81656,P2024,,2023-03-15,2500.00,,direct campaign contribution,,C00805275,ADAM FOR COLORADO,H2CO03351,FRISCH,ADAM,,,,H,CO,03,,,,,,,,
SB23,C00139659,SB23.59003,,,CCM,ELISSA SLOTKIN FOR CONGRESS,,,,,,PO BOX 244,,HOLLY,MI,48442,P2024,,2023-03-27,2500.00,,direct campaign contribution,,C00650150,ELISSA SLOTKIN FOR CONGRESS,S6MN00267,KLOBUCHAR,AMY J,,,,S,MN,00,,,,,,,,
SB23,C00139659,SB23.59080,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,P2024,,2023-03-24,150.00,,"earmarked through ActBlue-Harmelin, Randie",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.59083,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,P2024,,2023-03-24,500.00,,"earmarked through ActBlue-Shwachman, Kim",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.59084,,,CCM,ELISSA SLOTKIN FOR MICHIGAN,,,,,,P.O. BOX 4145,,EAST LANSING,MI,48826,P2024,,2023-03-25,25.00,,"earmarked through ActBlue-Rosen, Barbara",,C00834218,ELISSA SLOTKIN FOR MICHIGAN,S4MI00470,SLOTKIN (sen),ELISSA,,,,S,MI,00,,,,,,,X,
SB23,C00139659,SB23.59004,,,CCM,EMILIA SYKES FOR CONGRESS,,,,,,P.O. BOX 1347,,AKRON,OH,44309,P2024,,2023-03-27,2500.00,,direct campaign contribution,,C00801274,EMILIA SYKES FOR CONGRESS,,,,,,,H,OH,13,,,,,,,,
SB23,C00139659,SB23.59002,,,CCM,KLOBUCHAR FOR MINNESOTA,,,,,,1430 CONCORDIA AVENUE,PO BOX 4146,SAINT PAUL,MN,55104,P2024,,2023-03-15,2500.00,,direct campaign contribution,,C00410191,KLOBUCHAR FOR MINNESOTA,S6MN00267,KLOBUCHAR,AMY J,,,,S,MN,00,,,,,,,,
SB23,C00139659,SB23.59075,,,CCM,KLOBUCHAR FOR MINNESOTA,,,,,,1430 CONCORDIA AVENUE,PO BOX 4146,SAINT PAUL,MN,55104,P2024,,2023-03-16,500.00,,"earmarked through ActBlue-Washlow, Roberta",,C00410191,KLOBUCHAR FOR MINNESOTA,S6MN00267,KLOBUCHAR,AMY J,,,,S,MN,00,,,,,,,X,
SB23,C00139659,SB23.59076,,,CCM,KLOBUCHAR FOR MINNESOTA,,,,,,1430 CONCORDIA AVENUE,PO BOX 4146,SAINT PAUL,MN,55104,P2024,,2023-03-21,250.00,,"earmarked through ActBlue-Balonick, Marcia",,C00410191,KLOBUCHAR FOR MINNESOTA,S6MN00267,KLOBUCHAR,AMY J,,,,S,MN,00,,,,,,,X,
SB23,C00139659,SB23.58996,,,CCM,LAUREN UNDERWOOD FOR CONGRESS,,,,,,13400 S ROUTE 59,STE 116 BOX 248,PLAINFIELD,IL,60585,P2024,,2023-03-06,2500.00,,direct campaign contribution,,C00652719,LAUREN UNDERWOOD FOR CONGRESS,H8IL14174,UNDERWOOD,LAUREN,,,,H,IL,14,,,,,,,,
SB23,C00139659,SB23.59085,,,CCM,LAUREN UNDERWOOD FOR CONGRESS,,,,,,13400 S ROUTE 59,STE 116 BOX 248,PLAINFIELD,IL,60585,P2024,,2023-03-14,150.00,,"earmarked through ActBlue-Kreloff, Michael",,C00652719,LAUREN UNDERWOOD FOR CONGRESS,H8IL14174,UNDERWOOD,LAUREN,,,,H,IL,14,,,,,,,X,
