form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00566851,SB21B001,,,ORG,TRUIST VISA,,,,,,PO BOX 580340,,CHARLOTTE,NC,28258,,,2024-05-01,343.53,,CREDIT CARD PAYMENT-SEE DETAIL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00566851,SB21BCC001,SB21B001,SB21B,ORG,THE CURRENT IOWA,,,,,,215 N MAIN ST,,DAVENPORT,IA,52801,,,2024-05-01,213.32,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,SB21B001
SB21B,C00566851,SB21B004,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2024-05-03,2083.40,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00566851,SB21B003,,,ORG,SOCKO STRATEGIES LLC,,,,,,1101 30TH ST NW STE 125,,WASHINGTON,DC,20007,,,2024-05-03,16668.75,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00566851,SB21B002,,,ORG,TARGETED VICTORY,,,,,,2311 WILSON BLVD STE 200,,ARLINGTON,VA,22201,,,2024-05-03,18519.73,,DIGITAL/POLITICAL STRATEGY CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00566851,SB21B006,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD STE 400,,VIENNA,VA,22182,,,2024-05-07,1250.00,,DATABASE MANAGEMENT SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00566851,SB21B005,,,ORG,INTUIT,,,,,,2700 Coast Ave,,MOUNTAIN VIEW,CA,94043,,,2024-05-07,90.00,,SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00566851,SB21B007,,,ORG,T&L PROPERTIES LLC,,,,,,1909 SYCAMORE ST,,GRANGER,IA,50109,,,2024-05-09,267.50,,RENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00566851,SB21B008,,,ORG,TRUIST,,,,,,2200 WILSON BLVD STE 100,,ARLINGTON,VA,22201,,,2024-05-21,15.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00566851,SB21B009,,,ORG,TRUIST,,,,,,2200 WILSON BLVD STE 100,,ARLINGTON,VA,22201,,,2024-05-21,215.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00566851,SB21B010,,,ORG,ANEDOT INC,,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2024-05-22,80.30,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00566851,SB21B011,,,ORG,ANEDOT INC,,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2024-05-24,80.30,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00566851,SB21B012,,,ORG,ANEDOT INC,,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2024-05-30,80.30,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
