form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00011114,500027233,,,ORG,Amalgamated Bank Loans,,,,,,275 7th Street,,New York,NY,100016708,,,2023-07-19,6131.24,0.00,Interest Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027158,,,ORG,UnionWare,,,,,,P.O. Box 930473,,Atlanta,GA,311930473,,,2023-07-12,884.84,0.00,Merchant Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027306,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-03,117.87,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027307,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-05,51.55,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027308,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-06,95.04,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027309,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-07,11.38,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027310,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-10,22.02,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027311,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-11,5.37,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027312,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-12,1.18,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027313,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-13,15.79,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027314,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-14,11.07,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027315,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-17,54.75,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027316,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-18,3.70,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027317,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-19,7.05,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027318,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-20,2.75,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027319,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-21,7.79,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027320,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-24,15.24,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027321,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-25,5.89,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027322,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-26,3.14,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027323,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-27,6.57,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027324,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-28,6.19,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027325,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-07-31,105.60,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
