form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00448373,SB29.I18760,SB21B.I18758,SB21B,CCM,DENISE VILLALOBOS CAMPAIGN,,,,,,10330 KINGSBURY DRIVE,,CORPUS CHRISTI,TX,78410,G2024,,2024-10-29,5000.00,,CAMPAIGN CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,X,
SB29,C00448373,SB29.I18722,,,ORG,WINSOME FOR GOVERNOR,,,,,,PO BOX 71596,,RICHMOND,VA,23255,,,2024-12-04,10000.00,,CAMPAIGN CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18754,,,CCM,JAMES STURCH FOR STATE SENATE,,,,,,PO BOX 2391,,BATESVILLE,AR,72503,R2022,RUNOFF,2024-12-31,-2900.00,,VOID: CHECK NOT CASHED - SB29.I12460,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18755,,,CCM,KENNEDY FOR OHIO,,,,,,260 N CASSADY AVE,,COLUMBUS,OH,42309,G2022,,2024-12-31,-7500.00,,VOID: 1 OF 2 CHECKS CASHED - SB29.I12460,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18753,,,COM,AARON PILKINGTON FOR STATE REP,,,,,,264 PRIVATE RD 2611,,KNOXVILLE,AR,72845,P2022,,2024-12-31,-1000.00,,VOID: CHECK NOT CASHED -  SB29.I12279,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18752,,,COM,JEFF WARDLAW FOR STATE REP,,,,,,801 E CHURCH,,WARREN,AR,71671,P2022,,2024-12-31,-1000.00,,VOID: CHECK NOT CASHED - SB29.I12297,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18751,,,COM,SCOTT FLIPPO FOR STATE SENATE,,,,,,500 DRIFTWOOD DR.,,MOUNTAIN HOME,AR,72653,P2022,,2024-12-31,-1000.00,,VOID: CHECK NOT CASHED - SB29.I12311 ,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18747,,,ORG,BILL OLSON FOR STATE REPRESENTATIVE,,,,,,242 KENDAL WAY,,DAVENPORT,FL,33837,G2022,,2024-12-31,-1000.00,,VOID: CHECK NOT CASHED -  SB29.I12509,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18745,,,ORG,BOB THOMAS FOR STATE SENATE,,,,,,12 THOMAS PARK CIR,,LITTLE ROCK,AR,72223,G2020,,2024-12-31,-2800.00,,VOID: CHECK NOT CASHED - SB29.I7329,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18748,,,ORG,HAYES FOR HOUSE,,,,,,1812 HICKORY AVENUE,,NEW SHARON,IA,50207,P2022,,2024-12-31,-1000.00,,VOID: CHECK NOT CASHED - SB29.I17336,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18746,,,ORG,MARK LOWERY FOR STATE TREASURER,,,,,,229 SUMMIT VALLEY CIRCLE,,MAUMELLE,AR,72113,G2022,,2024-12-31,-2900.00,,VOID: CHECK NOT CASHED -  SB29.I12509,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18750,,,ORG,NICK PRIEST FOR STATE REP,,,,,,11 FOXBORO COVE,,JACKSONVILLE,AR,72076,G2024,,2024-12-31,-2000.00,,VOID: CHECK NOT CASHED - SB29.I18289,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18756,,,ORG,RYAN GUILLEN FOR STATE REP,,,,,,2504 SABLE PALM DRIVE,,RIO GRANDE CITY,TX,78582,G2022,,2024-12-31,-5000.00,,VOID: CHECK NOT CASHED - SB29.I12653,,,,,,,,,,,,,  ,,,,,,,
