form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00413948,SB21B.12412,,,ORG,American Express,,,,,,PO Box 650448,,Dallas,TX,75265,,,2024-12-04,14726.01,,Credit Card Payment: See Memos,,,,,,,,,,,,,,,,,,,,
SB21B,C00413948,SB21B.12412.0,SB21B.12412,SB21B,ORG,Trattoria Alberto,,,,,,506 8th St SE,,Washington,DC,20003,,,2024-12-03,6044.99,,Event Expense: Food & Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00413948,SB21B.12412.1,SB21B.12412,SB21B,ORG,InterContinental Barclay Hotel,,,,,,111 East 48th Street,,New York,NY,10017,,,2024-12-04,3165.92,,Event Expense: Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00413948,SB21B.12412.2,SB21B.12412,SB21B,ORG,InterContinental Barclay Hotel,,,,,,111 East 48th Street,,New York,NY,10017,,,2024-12-04,1859.14,,Event Expense: Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00413948,SB21B.12412.3,SB21B.12412,SB21B,ORG,InterContinental Barclay Hotel,,,,,,111 East 48th Street,,New York,NY,10017,,,2024-12-04,1859.14,,Event Expense: Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00413948,SB21B.12412.4,SB21B.12412,SB21B,ORG,InterContinental Barclay Hotel,,,,,,111 East 48th Street,,New York,NY,10017,,,2024-12-04,1796.82,,Event Expense: Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00413948,SB21B.12463,,,ORG,American Express,,,,,,PO Box 650448,,Dallas,TX,75265,,,2024-12-13,7972.78,,Credit Card Payment: See Memos,,,,,,,,,,,,,,,,,,,,
SB21B,C00413948,SB21B.12463.0,SB21B.12463,SB21B,ORG,Jetties,,,,,,"3708 Macomb St, NW",,Washington,DC,20016,,,2024-11-20,633.88,,Event Expense: Food & Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00413948,SB21B.12463.1,SB21B.12463,SB21B,ORG,Trattoria Alberto,,,,,,506 8th St SE,,Washington,DC,20003,,,2024-12-03,1200.00,,Event Expense: Food & Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00413948,SB21B.12463.2,SB21B.12463,SB21B,ORG,Jetties,,,,,,"3708 Macomb St, NW",,Washington,DC,20016,,,2024-12-05,555.61,,Event Expense: Food & Beverage,,,,,,,,,,,,,,,,,,,X,
