form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00869321,500085130,,,ORG,J & R Graphic,,,,,,638 W Indian School Rd,,Phoenix,AZ,850133136,,,2024-11-14,4398.30,0.00,Printing - Canvassing Literature,,,,,,,,,,,,,,,,,,,,
SB21B,C00869321,500084840,,,ORG,Amalgamated,,,,,,275 7Th Ave,,New York,NY,100016708,,,2024-10-29,11.17,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00869321,18162760I,18162760,SA11C,PAC,FRIENDS OF THE EARTH (ACTION) INC,,,,,,1101 15Th St NW,,Washington,DC,200055002,,,2024-11-04,3004.14,0.00,Canvassing,,C90018383,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00869321,500085131,,,ORG,The Money Wheel,,,,,,2828 N Central Ave,Fl 10,Phoenix,AZ,850041236,,,2024-11-01,6480.00,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00869321,500084841,,,ORG,The Colibri Collective,,,,,,1425 N 1St St,Ste 100,Phoenix,AZ,850041635,,,2024-10-21,2975.00,0.00,Design Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00869321,500085132,,,ORG,EveryAction,,,,,,655 15Th St NW,Ste 650,Washington,DC,200055738,,,2024-11-15,108.60,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00869321,500084842,,,ORG,The Colibri Collective,,,,,,1425 N 1St St,Ste 100,Phoenix,AZ,850041635,,,2024-10-25,900.00,0.00,Design Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00869321,500084843,,,ORG,The Colibri Collective,,,,,,1425 N 1St St,Ste 100,Phoenix,AZ,850041635,,,2024-10-25,1400.00,0.00,Design Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00869321,18190404I,18190404,SA11C,PAC,PLANNED PARENTHOOD VOTES,,,,,,123 William St,,New York,NY,100383804,,,2024-11-03,149.60,0.00,Staff Time - Salary,,C00489799,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00869321,500084844,,,ORG,The Union Print Shop,,,,,,49 S Sycamore,Ste 3,Mesa,AZ,852021151,,,2024-10-28,39551.16,0.00,Printing - Canvassing Literature,,,,,,,,,,,,,,,,,,,,
SB21B,C00869321,500084845,,,ORG,ActBlue Technical Services,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-10-28,197.50,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00869321,500085336,,,ORG,The Colibri Collective,,,,,,1425 N 1St St,Ste 100,Phoenix,AZ,850041635,,,2024-11-21,1150.00,0.00,Design Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00869321,500085128,,,ORG,Victory Forward Solutions LLC,,,,,,5716 N 19Th Ave,,Phoenix,AZ,850152432,,,2024-11-04,1059488.00,0.00,Canvassing,,,,,,,,,,,,,,,,,,,,
SB21B,C00869321,500085129,,,ORG,J & R Graphic,,,,,,638 W Indian School Rd,,Phoenix,AZ,850133136,,,2024-11-04,7945.90,0.00,Printing - Canvassing Literature,,,,,,,,,,,,,,,,,,,,
