form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21b,C00466870,B296378789C1E4CA8B5D,,,ORG,"Aristotle International, Inc.",,,,,,205  Pennsylvania Avenue SE,,Washington,DC,200031164,,,2024-02-08,750.00,,Software License,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00466870,BAABF1A2B1B96422DAF1,,,ORG,Barsz Gowie Amon & Fultz LLC,,,,,,1400 N Providence Rd,"Bldg 2, Suite 1040",Media,PA,190632043,,,2024-01-02,381.99,,Compliance Services,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00466870,B8CFA4C36EB1C477EA1B,,,ORG,Barsz Gowie Amon & Fultz LLC,,,,,,1400 N Providence Rd,"Bldg 2, Suite 1040",Media,PA,190632043,,,2024-02-01,1543.75,,Compliance Services,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00466870,B47415827F2664CE7827,,,ORG,Barsz Gowie Amon & Fultz LLC,,,,,,1400 N Providence Rd,"Bldg 2, Suite 1040",Media,PA,190632043,,,2024-03-01,1066.75,,Compliance Services,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00466870,B5BC83D8551014C11A1D,,,ORG,"Metropolitan Strategies, LLC",,,,,,1313 Bruce Road,,Oreland,PA,190751801,,,2024-01-05,1000.00,,Campaign Consulting Services,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00466870,BDDA03C3E30634B1D9EC,,,ORG,"Metropolitan Strategies, LLC",,,,,,1313 Bruce Road,,Oreland,PA,190751801,,,2024-02-05,1000.00,,Campaign Consulting Services,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00466870,BE3D514B4A9904000ACC,,,ORG,"Metropolitan Strategies, LLC",,,,,,1313 Bruce Road,,Oreland,PA,190751801,,,2024-03-05,1000.00,,Campaign Consulting Services,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00466870,BC5421FFFF06F49899A4,,,ORG,United States Treasury,,,,,,1160 W  1200  S,,Ogden,UT,842010001,,,2024-01-29,662.00,,Federal Tax Payment,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00466870,B8DD3BAC6BC9D4A61BB3,,,ORG,Verizon Wireless,,,,,,PO Box 25505,,Lehigh Valley,PA,180025505,,,2024-01-29,186.51,,Telephone Expense,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00466870,BEDD81A0613914FBAA45,,,ORG,Verizon Wireless,,,,,,PO Box 25505,,Lehigh Valley,PA,180025505,,,2024-02-28,191.58,,Telephone Expense,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00466870,B883989EAB4F44DC88A9,,,ORG,Verizon Wireless,,,,,,PO Box 25505,,Lehigh Valley,PA,180025505,,,2024-03-29,191.88,,Telephone Expense,001,,,,,,,,,,,,,,,,,,,,
