form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00009936,26864529,,,CCM,Katherine Clark For Congress,,,,,,"600 Pennsylvania Ave, SE",#15180,Washington,DC,20003,P2024,,2023-05-17,-2500.00,0.00,,011,C00541888,Katherine Clark For Congress,H4MA05084,Clark,Katherine,,,,H,MA,05,,,,,,,X,Re-designation on 05/17/2023
SB23,C00009936,26918762,,,CCM,Julia Brownley For Congress,,,,,,PO Box 15096,c/o Strathee Group,Washington,DC,20003,P2024,,2023-05-10,1000.00,0.00,"Julia Brownley, US HOUSE D-26-CA",011,C00513077,Julia Brownley For Congress,H2CA00120,Brownley,Julia,,Ms.,,H,CA,26,,,,,,,,"Julia Brownley, US HOUSE D-26-CA"
SB23,C00009936,26918763,,,CCM,Titus For Congress,,,,,,PO Box 72454,,Las Vegas,NV,89170,P2024,,2023-05-10,2500.00,0.00,"Dina Titus, US HOUSE D-01-NV",011,C00450577,Titus For Congress,,Titus,Dina,,,,H,NV,01,,,,,,,,"Dina Titus, US HOUSE D-01-NV"
SB23,C00009936,26918764,,,CCM,Sheila Cherfilus-McCormick for Congress,,,,,,"499 S Capitol St, SW, Ste 420",Suite 203,Washington,DC,20003,P2024,,2023-05-10,2500.00,0.00,"Sheila Cherfilus-McCormick, US HOUSE D-20-FL",011,C00677492,Sheila Cherfilus-McCormick for Congress,H8FL20032,Cherfilus-McCormick,Sheila,,Rep.,,H,FL,20,,,,,,,,"Sheila Cherfilus-McCormick, US HOUSE D-20-FL"
SB23,C00009936,26918765,,,PAC,VoteVets.org PAC,,,,,,PO Box 11293,,Portland,OR,97211,,,2023-05-10,5000.00,0.00,federal contribution,011,C00418897,,,,,,,,,,,,,,,,,,federal contribution
SB23,C00009936,26918766,,,CCM,Andrea Salinas For Oregon,,,,,,"660 Pennsylvania Ave, SE",Ste 202,Washington,DC,20003,P2024,,2023-05-10,1000.00,0.00,"Andrea Salinas, US HOUSE D-06-OR",011,C00793703,Andrea Salinas For Oregon,H2OR06066,Salinas,Andrea,,Rep.,,H,OR,06,,,,,,,,"Andrea Salinas, US HOUSE D-06-OR"
SB23,C00009936,26918767,,,CCM,Jamie Raskin For Congress,,,,,,PO Box 5418,,Takoma Park,MD,20913,P2024,,2023-05-10,2500.00,0.00,"Jamie Raskin, US HOUSE D-08-MD",011,C00575126,Jamie Raskin For Congress,H6MD08457,Raskin,Jamie,,,,H,MD,08,,,,,,,,"Jamie Raskin, US HOUSE D-08-MD"
SB23,C00009936,26918768,,,CCM,Garamendi for Congress,,,,,,"660 Pennsylvania Ave, SE",Ste 202,Washington,DC,20003,P2024,,2023-05-10,1000.00,0.00,"John Garamendi, US HOUSE D-03-CA",011,C00462697,Garamendi for Congress,H0CA10149,Garamendi,John,,Mr.,,H,CA,03,,,,,,,,"John Garamendi, US HOUSE D-03-CA"
SB23,C00009936,26918769,,,CCM,Friends of Maria,,,,,,PO Box 12740,,Seattle,WA,98111,P2024,,2023-05-10,2500.00,0.00,"Maria Cantwell, US SENATE D-S2-WA",011,C00349506,Friends of Maria,S8WA00194,Cantwell,Maria,,,,S,WA,,,,,,,,,"Maria Cantwell, US SENATE D-S2-WA"
SB23,C00009936,26932041,,,CCM,Friends of Maria,,,,,,PO Box 12740,,Seattle,WA,98111,P2024,,2023-05-17,-2500.00,0.00,Void ck# 10715 dtd 5/10/2023 - Friends of Maria,011,C00349506,Friends of Maria,S8WA00194,Cantwell,Maria,,,,S,WA,,,,,,,,,Void ck# 10715 dtd 5/10/2023 - Friends of Maria
