form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00697326,SB21B.4750,,,ORG,ARENA MAIL & DIGITAL,,,,,,1260 E STRINGHAM AVENUE,SUITE 400,SALT LAKE CITY,UT,84106,,,2024-10-21,10000.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4777,,,ORG,"ASPECT CONSULTING, LLC",,,,,,8383 GREENWAY BOULEVARD,SUITE 600,MIDDLETON,WI,53562,,,2024-11-15,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4757,,,ORG,iSTREAM FINANCIAL SERVICES,,,,,,13555 BISHOPS COURT,#2,BROOKFIELD,WI,53005,,,2024-11-05,47.01,,CHECK PROCESSING FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4751,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-10-21,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4752,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-10-29,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4773,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-10-31,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4774,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-10-31,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4775,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-10-31,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4776,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-10-31,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4762,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-11-01,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4763,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-11-01,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4778,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-11-15,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
