form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00683250,500450116,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-08-11,39.50,0.00,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500452388,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-08-29,0.50,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500451367,,,ORG,Capitol Compliance Associates Inc,,,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,200037508,,,2024-08-27,1500.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500451368,,,ORG,Capitol Compliance Associates Inc,,,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,200037508,,,2024-08-27,1559.29,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500450108,,,ORG,"HM Consulting, Inc.",,,,,,114 Lexington Dr,,Silver Spring,MD,209012531,,,2024-08-13,2750.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500451370,,,ORG,"HM Consulting, Inc.",,,,,,114 Lexington Dr,,Silver Spring,MD,209012531,,,2024-08-28,34.07,0.00,Fundraising Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500450862,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2024-08-15,68.90,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500450864,,,ORG,Ticketmaster,,,,,,1041 N Formosa Ave,,West Hollywood,CA,900466703,,,2024-08-19,468.10,0.00,Event Tickets,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500452390,,,ORG,Ticketmaster,,,,,,1041 N Formosa Ave,,West Hollywood,CA,900466703,,,2024-08-26,460.00,0.00,Event Tickets,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500449795,,,ORG,Walt Disney Company,,,,,,500 S Buena Vista St,,Burbank,CA,915210001,,,2024-08-05,127.93,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500449796,,,ORG,Walt Disney Company,,,,,,500 S Buena Vista St,,Burbank,CA,915210001,,,2024-08-05,245.70,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500449797,,,ORG,Walt Disney Company,,,,,,500 S Buena Vista St,,Burbank,CA,915210001,,,2024-08-05,17.24,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500449798,,,ORG,Walt Disney Company,,,,,,500 S Buena Vista St,,Burbank,CA,915210001,,,2024-08-05,72.69,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500449799,,,ORG,Walt Disney Company,,,,,,500 S Buena Vista St,,Burbank,CA,915210001,,,2024-08-05,63.07,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500449800,,,ORG,Walt Disney Company,,,,,,500 S Buena Vista St,,Burbank,CA,915210001,,,2024-08-05,28.55,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500449801,,,ORG,Walt Disney Company,,,,,,500 S Buena Vista St,,Burbank,CA,915210001,,,2024-08-05,184.89,0.00,Catering,,,,,,,,,,,,,,,,,,,,
