form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00544387,SB29.7792,,,ORG,CampaignHQ,,,,,,PO Box 257,,Brooklyn,IA,52211,,,2023-10-30,49915.45,,Advertising in nonfederal election,004,,,,,,,,,,,,,,,,,,,
SB29,C00544387,SB29.7782,,,ORG,Campaign Sidekick,,,,,,1550 Old Annetta Rd,,Aledo,TX,76008,,,2023-09-27,342578.40,,Peer-to-peer messaging in non-federal election,004,,,,,,,,,,,,,,,,,,,
SB29,C00544387,SB29.7783,,,ORG,Campaign Sidekick,,,,,,1550 Old Annetta Rd,,Aledo,TX,76008,,,2023-10-30,144533.76,,Peer-to-peer messaging in non-federal election,004,,,,,,,,,,,,,,,,,,,
SB29,C00544387,SB29.7794,,,ORG,"Evolving Strategies, LLC",,,,,,6015 Overlea Rd,,Bethesda,MD,208162453,,,2023-12-22,72289.89,,Message testing,005,,,,,,,,,,,,,,,,,,,
SB29,C00544387,SB29.8405,,,ORG,"Evolving Strategies, LLC",,,,,,6015 Overlea Rd,,Bethesda,MD,208162453,,,2023-12-22,66900.00,,Message testing,005,,,,,,,,,,,,,,,,,,,
SB29,C00544387,SB29.7777,,,ORG,Logan Circle Group,,,,,,"916 G St. NW, #503",,Washington,DC,20001,,,2023-09-18,250000.00,,Digital advertising in non-federal election,004,,,,,,,,,,,,,,,,,,,
SB29,C00544387,SB29.7778,,,ORG,Logan Circle Group,,,,,,"916 G St. NW, #503",,Washington,DC,20001,,,2023-09-19,800000.00,,Digital advertising in a nonfederal election,004,,,,,,,,,,,,,,,,,,,
SB29,C00544387,SB29.7779,,,ORG,Logan Circle Group,,,,,,"916 G St. NW, #503",,Washington,DC,20001,,,2023-09-21,90000.00,,Digital advertising in non-federal election,004,,,,,,,,,,,,,,,,,,,
SB29,C00544387,SB29.7780,,,ORG,Logan Circle Group,,,,,,"916 G St. NW, #503",,Washington,DC,20001,,,2023-09-28,42248.43,,Digital advertising in nonfederal election,004,,,,,,,,,,,,,,,,,,,
SB29,C00544387,SB29.7781,,,ORG,Logan Circle Group,,,,,,"916 G St. NW, #503",,Washington,DC,20001,,,2023-10-25,620000.00,,Digital advertising in nonfederal election,004,,,,,,,,,,,,,,,,,,,
SB29,C00544387,SB29.8404,,,ORG,"OnMessage, Inc",,,,,,815 Slaters Lane,,Alexandria,VA,22314,,,2023-09-05,160497.57,,Polling expense in nonfederal election,005,,,,,,,,,,,,,,,,,,,
SB29,C00544387,SB29.7790,,,ORG,Spry Strategies,,,,,,3550 Hope Creek Road,,Lenoir City,TN,37771,,,2023-10-18,10700.00,,Polling,005,,,,,,,,,,,,,,,,,,,
SB29,C00544387,SB29.7791,,,ORG,Torchlight Creative LLC,,,,,,441 Klingle Stree NW,,Washington,DC,20016,,,2023-10-24,49750.00,,Ad production for non-federal election,004,,,,,,,,,,,,,,,,,,,
