form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00032979,70487507,,,CCM,Schmitt For Senate,,,,,,101 W Argonne Dr,#24,Saint Louis,MO,63122,P2024,,2024-09-17,-5000.00,0.00,VOID CK DATED 3/19/2024; NOT RE-ISSUED,011,C00775015,Schmitt For Senate,S2MO00544,Schmitt,Eric,,Sen.,,S,MO,,,,,,,,,VOID CK DATED 3/19/2024; NOT RE-ISSUED
SB23,C00032979,70487528,,,CCM,Mrvan For Congress 24,,,,,,PO BOX 55,,CROWN POINT,IN,46308,G2024,,2024-09-12,5000.00,0.00,GENERAL 2024,011,C00727529,Mrvan For Congress 24,H0IN01150,Mrvan,Frank,,,,H,IN,01,,,,,,,,GENERAL 2024
SB23,C00032979,70487531,,,CCM,KRISTEN FOR MICHIGAN,,,,,,PO BOX 854,,BAY CITY,MI,48707,G2024,,2024-09-12,5000.00,0.00,GENERAL 2024,011,C00864207,KRISTEN FOR MICHIGAN,,MCDONALD RIVET,KRISTEN,,,,H,MI,08,,,,,,,,GENERAL 2024
SB23,C00032979,70487536,,,CCM,PATRICIA KEMP FOR CONGRESS CTE,,,,,,701 South Howard Avenue,Suite 106-813,Tampa,FL,33606,G2024,,2024-09-12,5000.00,0.00,GENERAL 2024,011,C00874693,PATRICIA KEMP FOR CONGRESS CTE,H4FL15189,Kemp,Patricia,,Ms.,,H,FL,15,,,,,,,,GENERAL 2024
SB23,C00032979,70487541,,,CCM,Troy Carter For Congress,,,,,,PO Box 50730,,New Orleans,LA,70150,G2024,,2024-09-12,5000.00,0.00,GENERAL 2024,011,C00763649,Troy Carter For Congress,H2LA02149,Carter,Troy,,,Sr.,H,LA,02,,,,,,,,GENERAL 2024
SB23,C00032979,70487543,,,CCM,Whitney Fox For Congress,,,,,,PO Box 49344,,St. Petersburg,FL,33743,G2024,,2024-09-12,5000.00,0.00,GENERAL 2024,011,C00854307,Whitney Fox For Congress,H4FL13200,Fox,Whitney,,Ms.,,H,FL,13,,,,,,,,GENERAL 2024
SB23,C00032979,70651224,,,CCM,Emilia Sykes For Congress,,,,,,P.O. Box 1347,,Akron,OH,44309,G2024,,2024-09-24,2500.00,0.00,GENERAL 2024,011,C00801274,Emilia Sykes For Congress,H2OH13264,Sykes,Emilia,,,,H,OH,13,,,,,,,,GENERAL 2024
SB23,C00032979,70651226,,,CCM,Vindman For Congress,,,,,,"4222 Fortuna Center Plz, Ste 664",,Dumfries,VA,22025,G2024,,2024-09-24,1000.00,0.00,GENERAL 2024,011,C00856955,Vindman For Congress,H4VA07234,Vindman,Yevgeny,,LTCOL,,H,VA,07,,,,,,,,GENERAL 2024
SB23,C00032979,70651228,,,CCM,McClellan For Congress,,,,,,PO Box 818,,Richmond,VA,23218,G2024,,2024-09-24,2000.00,0.00,GENERAL 2024,011,C00829812,McClellan For Congress,H4VA04066,McClellan,Jennifer,,Sen.,,H,VA,04,,,,,,,,GENERAL 2024
SB23,C00032979,70651229,,,CCM,JUDY CHU FOR CONGRESS,,,,,,1531 PURDUE AVENUE,,LOS ANGELES,CA,90025,G2024,,2024-09-24,3300.00,0.00,GENERAL 2024,011,C00458125,JUDY CHU FOR CONGRESS,H0CA32101,Chu,Judy,,Ms.,,H,CA,27,,,,,,,,GENERAL 2024
SB23,C00032979,70651236,,,PAC,MONTANA HUNTERS AND ANGLERS LEADERSHIP FUND,,,,,,PO BOX 1934,,BILLIGS,MT,59103,,,2024-09-24,50000.00,0.00,CONTRIBUTION,011,C00493262,,,,,,,,,,,,,,,,,,CONTRIBUTION
SB23,C00032979,70652075,,,CCM,SARAH FREEMAN 4 CONGRESS,,,,,,7684 Apahon Ln.,,Germantown,TN,38138,G2024,,2024-09-24,1500.00,0.00,GENERAL 2024,011,C00876292,SARAH FREEMAN 4 CONGRESS,H4TN08123,Freeman,Sarah,,Ms.,,H,TN,08,,,,,,,,GENERAL 2024
SB23,C00032979,70656585,,,PTY,Democratic Party of Oregon - Federal,,,,,,1220 SW MORRIS ST STE 910,,Portland,OR,97205,,,2024-09-24,5000.00,0.00,CONTRIBUTION,011,c00188367,,,,,,,,,,,,,,,,,,CONTRIBUTION
SB23,C00032979,70657554,,,PAC,THE KLOBUCHAR VICTORY CMTE,,,,,,PO BOX 4146,,ST PAUL,MN,55404,,,2024-09-24,5000.00,0.00,CONTRIBUTION,011,C00744987,,,,,,,,,,,,,,,,,,CONTRIBUTION
SB23,C00032979,70663478,,,PAC,VAL HOYLE VICTORY FUND,,,,,,PO BOX 657,,SPRINGFIELD,OR,97477,,,2024-09-24,5000.00,0.00,CONTRIBUTION,011,C00820464,,,,,,,,,,,,,,,,,,CONTRIBUTION
