form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00235853,500644164,,,ORG,American Express Establishment Services,,,,,,12138 Central Ave,# 3886,Mitchellville,MD,207211910,,,2023-11-06,618.52,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500635402,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-01,-22.50,0.00,draw 11/1/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Friends of Danica Roem)
SB21B,C00235853,500635403,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-01,-22.50,0.00,draw 11/1/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Cole for Virginia)
SB21B,C00235853,500635404,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-01,-22.50,0.00,draw 11/1/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Michael Feggans for Virginia)
SB21B,C00235853,500635299,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-02,-216.00,0.00,draw 11/2/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Friends of Danica Roem)
SB21B,C00235853,500635316,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-02,-216.00,0.00,draw 11/2/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Josh Thomas for Delegate)
SB21B,C00235853,500635294,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-03,-282.75,0.00,draw 11/3/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Cole for Virginia)
SB21B,C00235853,500635300,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-03,-252.00,0.00,draw 11/3/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Friends of Danica Roem)
SB21B,C00235853,500635305,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-03,-351.00,0.00,draw 11/3/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Rouse for Senate)
SB21B,C00235853,500635311,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-03,-282.75,0.00,draw 11/3/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Joel Griffin for Virginia)
SB21B,C00235853,500635317,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-03,-252.00,0.00,draw 11/3/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Josh Thomas for Delegate)
SB21B,C00235853,500635322,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-03,-351.00,0.00,draw 11/3/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Michael Feggans for Virginia)
SB21B,C00235853,500635295,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-04,-365.00,0.00,draw 11/4/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Cole for Virginia)
SB21B,C00235853,500635301,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-04,-645.50,0.00,draw 11/4/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Friends of Danica Roem)
SB21B,C00235853,500635306,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2023-11-04,-490.50,0.00,draw 11/4/2023 from line 29,,,,,,,,,,,,,,,,,,,,(Rouse for Senate)
