form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00480228,SB21B.I17639,,,IND,,CASSIDY,WILLIAM,M.,,,P.O. BOX 80505,,BATON ROUGE,LA,708980505,,,2024-10-02,324.46,,TRAVEL REIMBURSEMENT,001,,,S4LA00107,CASSIDY,WILLIAM,M.,,,S,LA,,  ,,,,,,,
SB21B,C00480228,SB21B.I17640,SB21B.I17639,SB21B,ORG,LYFT,,,,,,185 BERRY ST,,SF,CA,94107,,,2024-09-22,324.46,,TAXI,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00480228,SB21B.I17641,,,ORG,AMERICAN EXPRESS,,,,,,PO BOX 650448,,DALLAS,TX,752650448,,,2024-10-02,8111.80,,CREDIT CARD PAYMENT,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00480228,SB21B.I17777,SB21B.I17641,SB21B,ORG,AMAZON MARKETPLACE,,,,,,440 TERRY AVE N,,SEATTLE,WA,98109,,,2024-09-24,10.94,,OFFICE SUPPLIES,001,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00480228,SB21B.I17766,SB21B.I17641,SB21B,ORG,AMERICAN AIRLINES,,,,,,P.O. BOX 619616,SUITE 600,DFW AIRPORT,TX,75261,,,2024-09-18,191.10,,TRAVEL: AIRFARE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00480228,SB21B.I17782,SB21B.I17641,SB21B,ORG,AMERICAN AIRLINES,,,,,,P.O. BOX 619616,SUITE 600,DFW AIRPORT,TX,75261,,,2024-09-25,348.48,,TRAVEL: AIRFARE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00480228,SB21B.I17783,SB21B.I17641,SB21B,ORG,AMERICAN AIRLINES,,,,,,P.O. BOX 619616,SUITE 600,DFW AIRPORT,TX,75261,,,2024-09-25,348.48,,TRAVEL: AIRFARE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00480228,SB21B.I17784,SB21B.I17641,SB21B,ORG,AMERICAN AIRLINES,,,,,,P.O. BOX 619616,SUITE 600,DFW AIRPORT,TX,75261,,,2024-09-25,273.48,,TRAVEL: AIRFARE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00480228,SB21B.I17785,SB21B.I17641,SB21B,ORG,AMERICAN AIRLINES,,,,,,P.O. BOX 619616,SUITE 600,DFW AIRPORT,TX,75261,,,2024-09-25,273.48,,TRAVEL: AIRFARE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00480228,SB21B.I17765,SB21B.I17641,SB21B,ORG,BIG SKY RESORT,,,,,,PO BOX 160001,,BIG SKY,MT,59716,,,2024-08-31,2599.41,,TRAVEL: LODGING,002,,,,,,,,,,,,  ,,,,,,X,
