form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00764373,SB21B.4524,,,PAC,AMERICAN CHEMISTRY COUNCIL PAC,,,,,,"700 2ND STREET, NE",,WASHINGTON,DC,20002,,,2024-06-02,1190.70,,In-kind - Event Expense: Lodging/Food & Beverage,,C00252338,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4378,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-04-08,200.30,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4379,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-04-09,400.60,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4386,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-04-15,344.90,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4387,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-04-22,20.30,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4410,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-04-26,80.90,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4411,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-04-30,60.60,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4474,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-05-22,40.30,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4475,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-05-24,140.60,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4476,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-05-29,80.60,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00764373,SB21B.4477,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2024-05-30,60.60,,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
