form_type,filer_committee_id_number,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,expenditure_date,expenditure_purpose_descrip,beneficiary_committee_name,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,category_code,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,election_code,election_other_description,expenditure_amount,semi_annual_refunded_bundled_amt,memo_code,memo_text_description,image_number,beneficiary_committee_fec_id
SB29,C00292136,JON NELSON FOR HOUSE,,,,,,420 6TH AVENUE SE,,RUGBY,ND,58368,2024-05-08,CONTRIBUTION,,JON NELSON,,,,,011,H,ND,,G,,150.00,,,,202407180300477092,C00292136
SB29,C00292136,MIKE SANDERS FOR HOUSE,,,,,,214 MARINA DEL AVE,,YANKTON,SD,57078,2024-05-08,CONTRIBUTION,,MIKE STEVENS,,,,,011,H,SD,,G,,150.00,,,,202407180300477087,C00292136
SB29,C00292136,KIRK CHAFFEE FOR SENATE,,,,,,PO BOX 280,,WHITEWOOD,SD,57793,2024-05-08,CONTRIBUTION,,KIRK CHAFFEE,,,,,011,S,SD,,G,,150.00,,,,202407180300477080,C00292136
SB29,C00292136,ROBIN WEISZ FOR HOUSE,,,,,,2639 FIRST STREET SE,,HURDSFIELD ,ND,58451,2024-05-08,CONTRIBUTION,,ROBIN WEISZ,,,,,011,H,ND,,G,,150.00,,,,202407180300477092,C00292136
SB29,C00292136,JEAN HUNHOFF FOR SENATE,,,,,,2511 MULLIGAN DR,,YANKTON,SD,57078,2024-05-08,CONTRIBUTION,,JEAN HUNHOFF,,,,,011,S,SD,,G,,150.00,,,,202407180300477079,C00292136
SB29,C00292136,JORDAN YOUNGBERG FOR SENATE,,,,,,613 S ALLEN AVE,,COLMAN,SD,57017,2024-05-08,CONTRIBUTION,,JORDAN YOUNGBERG,,,,,011,S,SD,,G,,150.00,,,,202407180300477080,C00292136
SB29,C00292136,DAVID JOHNSON FOR SENATE,,,,,,PO BOX 1276,,RAPID CITY,SD,57709,2024-05-08,CONTRIBUTION,,DAVID JOHNSON,,,,,011,S,SD,,G,,150.00,,,,202407180300477081,C00292136
SB29,C00292136,PAUL THOMAS FOR SENATE,,,,,,PO BOX 162,,VELVA,ND,58790,2024-05-08,CONTRIBUTION,,PAUL THOMAS,,,,,011,S,SD,,G,,150.00,,,,202407180300477090,C00292136
SB29,C00292136,DICK ANDERSON FOR HOUSE,,,,,,1187 77TH STREET NE,,WILLOW CITY,ND,58384,2024-05-08,CONTRIBUTION,,DICK ANDERSON,,,,,011,H,SD,,G,,150.00,,,,202407180300477091,C00292136
SB29,C00292136,DAN VOLLMER FOR HOUSE,,,,,,1882 81ST STREET NE,,WILLOW CITY,ND,58384,2024-05-08,CONTRIBUTION,,DAN VOLLMER,,,,,011,H,ND,,G,,150.00,,,,202407180300477091,C00292136
SB29,C00292136,ROGER DEGROOT FOR HOUSE,,,,,,1925 ORIOLE TRAIL,,BROOKINGS,SD,57006,2024-05-08,CONTRIBUTION,,ROGER DEGROOT,,,,,011,H,SD,,G,,150.00,,,,202407180300477083,C00292136
