form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00010322,15558381,,,PTY,Democratic Party of Oregon,,,,,,1220 SW Morrison St,Ste 910,Portland,OR,97205,,,2023-05-11,2500.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00010322,15754425,,,PTY,Maryland Democratic Party,,,,,,275 West St,Suite 70,Annapolis,MD,21401,,,2023-06-20,3000.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00010322,15782352,,,ORG,APWU,,,,,,1300 L STREET,,WASHINGTON,DC,20005,,,2023-04-28,1582.50,0.00,"SHARED SALARIES-VDUNCAN,BYOUNG",001,,,,,,,,,,,,,,,,,,,"SHARED SALARIES-VDUNCAN,BYOUNG"
SB29,C00010322,15791817,,,ORG,APWU,,,,,,1300 L STREET,,WASHINGTON,DC,20005,,,2023-05-29,1582.51,0.00,"SHARED SALARIES-VDUNCAN,BYOUNG",001,,,,,,,,,,,,,,,,,,,"SHARED SALARIES-VDUNCAN,BYOUNG"
SB29,C00010322,15791819,,,ORG,APWU,,,,,,1300 L STREET,,WASHINGTON,DC,20005,,,2023-04-28,132.88,0.00,client analysis charge,001,,,,,,,,,,,,,,,,,,,client analysis charge
SB29,C00010322,15791821,,,ORG,APWU,,,,,,1300 L STREET,,WASHINGTON,DC,20005,,,2023-04-28,674.52,0.00,client analysis charge,001,,,,,,,,,,,,,,,,,,,client analysis charge
SB29,C00010322,15791822,,,ORG,APWU,,,,,,1300 L STREET,,WASHINGTON,DC,20005,,,2023-04-28,47.44,0.00,bank card fee,001,,,,,,,,,,,,,,,,,,,bank card fee
SB29,C00010322,15791824,,,ORG,APWU,,,,,,1300 L STREET,,WASHINGTON,DC,20005,,,2023-05-29,834.44,0.00,client analysis charge,001,,,,,,,,,,,,,,,,,,,client analysis charge
SB29,C00010322,15791825,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-06-28,2373.75,0.00,"SHARED SALARIES-VDUNCAN,BYOUNG",001,,,,,,,,,,,,,,,,,,,"SHARED SALARIES-VDUNCAN,BYOUNG"
SB29,C00010322,15791827,,,ORG,APWU,,,,,,1300 L STREET,,WASHINGTON,DC,20005,,,2023-05-10,69.18,0.00,bank card fee,001,,,,,,,,,,,,,,,,,,,bank card fee
SB29,C00010322,15791828,,,ORG,APWU,,,,,,1300 L STREET,,WASHINGTON,DC,20005,,,2023-06-28,660.13,0.00,client analysis charge,001,,,,,,,,,,,,,,,,,,,client analysis charge
SB29,C00010322,15791829,,,ORG,APWU,,,,,,1300 L STREET,,WASHINGTON,DC,20005,,,2023-06-28,50.97,0.00,bank card fee,001,,,,,,,,,,,,,,,,,,,bank card fee
