form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00542027,SB21B.I41258,,,ORG,ANEDOT,,,,,,1340 POYDRAS ST,STE 1770,NEW ORLEANS,LA,70112,,,2024-06-30,240.60,,ONLINE PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00542027,SB21B.I41254,,,ORG,BB&T,,,,,,1909 K ST NW,,WASHINGTON,DC,20006,,,2024-06-21,70.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00542027,SB21B.I41253,,,ORG,BB&T FINANCIAL,,,,,,P.O. BOX 580340,,CHARLOTTE,NC,28258,,,2024-06-16,732.03,,CREDIT CARD PAYMENT- SEE MEMOS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00542027,SB21B.I41261,SB21B.I41253,SB21B,ORG,BB&T,,,,,,1909 K ST NW,,WASHINGTON,DC,20006,,,2024-06-16,49.37,,BANK FEE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00542027,SB21B.I41260,SB21B.I41253,SB21B,ORG,CAPITAL GRILLE,,,,,,601 PENNSYLVANIA AVE NW,,WASHINGTON,DC,200042601,,,2024-06-16,359.20,,EVENT CATERING,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00542027,SB21B.I41259,SB21B.I41253,SB21B,ORG,OAK,,,,,,901 S ST. ASAPH ST.,,ALEXANDRIA,VA,22314,,,2024-06-16,285.98,,MEETING EXPENSE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00542027,SB21B.I41250,,,ORG,CMDI,,,,,,1593 SPRING HILL RD.,,VIENNA,VA,22182,,,2024-06-11,250.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00542027,SB21B.I41251,,,ORG,H2 CAPITOL CONSULTING LLC,,,,,,5072 SHERIER PL NW,,WASHINGTON,DC,20016,,,2024-06-14,10033.10,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00542027,SB21B.I41252,,,ORG,H2 CAPITOL CONSULTING LLC,,,,,,5072 SHERIER PL NW,,WASHINGTON,DC,20016,,,2024-06-14,2845.68,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00542027,SB21B.I41246,,,ORG,HIGHWOOD CAPITAL LLC,,,,,,P.O. BOX 6127,,BOZEMAN,MT,597716127,,,2024-06-06,12672.22,,FUNDRAISING CONSULTING/TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00542027,SB21B.I41247,,,ORG,THE ELEVATED GROUP LLC,,,,,,410 1ST ST SE,STE 310,WASHINGTON,DC,20003,,,2024-06-06,1854.00,,EVENT CATERING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00542027,SB21B.I41248,,,ORG,THE ELEVATED GROUP LLC,,,,,,410 1ST ST SE,STE 310,WASHINGTON,DC,20003,,,2024-06-06,11500.00,,EVENT SITE RENTAL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00542027,SB21B.I41249,,,ORG,THE ELEVATED GROUP LLC,,,,,,410 1ST ST SE,STE 310,WASHINGTON,DC,20003,,,2024-06-06,22200.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
