form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00427435,SB21B.15266,,,ORG,CORCORAN STRATEGIES LLC,,,,,,"602 M STREET, NW",#3,WASHINGTON,DC,20001,,,2023-04-26,10050.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15269,,,ORG,PRISM GROUP,,,,,,"1333 H. ST., NW",SUITE 800E,WASHINGTON,DC,20005,,,2023-04-27,6602.44,,COMMUNICATIONS CONSULTING & EXPENSES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15270,,,ORG,PRISM GROUP,,,,,,"1333 H. ST., NW",SUITE 800E,WASHINGTON,DC,20005,,,2023-04-27,4250.00,,COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15271,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2023-01-31,2113.35,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15273,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2023-04-26,2033.66,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15294,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-01-26,13.33,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15295,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-01-27,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15296,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-01-30,5.92,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15297,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-01-31,7.39,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15298,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-01,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15299,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-02,4.95,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15300,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-06,8.88,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15301,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-07,17.27,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15302,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-08,8.88,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15303,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-09,42.07,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15304,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-10,10.36,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15305,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-13,10.36,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15306,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-14,6.91,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15307,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-15,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15308,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-16,15.78,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15309,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-17,14.29,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15310,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-21,9.37,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15311,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-22,3.45,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00427435,SB21B.15312,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-02-23,1.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
