form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00427435,SB29.15265,,,ORG,CORCORAN STRATEGIES LLC,,,,,,"602 M STREET, NW",#3,WASHINGTON,DC,20001,,,2023-01-31,467.45,,NON-CONTRIBUTION: FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.16404,,,ORG,COSTCO WHOLESALE,,,,,,2441 MARKET ST NE,,WASHINGTON,DC,20018,,,2022-12-10,282.59,,NON-CONTRIBUTION: EVENT EXPENSE: BEVERAGES [SB29.15408],,,,,,,,,,,,,,,,,,,X,
SB29,C00427435,SB29.16406,,,ORG,COSTCO WHOLESALE,,,,,,2441 MARKET ST NE,,WASHINGTON,DC,20018,,,2022-12-14,176.45,,NON-CONTRIBUTION: EVENT EXPENSE: BEVERAGES [SB29.15408],,,,,,,,,,,,,,,,,,,X,
SB29,C00427435,SB29.15267,,,ORG,DICKINSON WRIGHT PLLC,,,,,,"1825 EYE STREET, N.W.",SUITE 900,WASHINGTON,DC,20006,,,2023-04-27,364.50,,NON-CONTRIBUTION: LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15408,,,IND,,NORTON,KEVIN,,,,511 K ST NE,UNIT A,WASHINGTON,DC,20002,,,2023-03-15,492.04,,NON-CONTRIBUTION: EXPENSE REIMBURSEMENT: SEE ITEMIZED IF REQUIRED,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15268,,,ORG,PRISM GROUP,,,,,,"1333 H. ST., NW",SUITE 800E,WASHINGTON,DC,20005,,,2023-02-01,3750.00,,NON-CONTRIBUTION: COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15272,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2023-04-26,1092.00,,NON-CONTRIBUTION: COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15318,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-03,4.93,,NON-CONTRIBUTION: MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15326,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-14,4.93,,NON-CONTRIBUTION: MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15330,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-03-17,4.93,,NON-CONTRIBUTION: MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15348,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-13,4.93,,NON-CONTRIBUTION: MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15354,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-04-20,4.93,,NON-CONTRIBUTION: MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15371,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-12,4.93,,NON-CONTRIBUTION: MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15376,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-05-19,4.93,,NON-CONTRIBUTION: MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15393,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-14,4.93,,NON-CONTRIBUTION: MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15399,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-22,4.93,,NON-CONTRIBUTION: MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15403,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-27,21.68,,NON-CONTRIBUTION: MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB29,C00427435,SB29.15405,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-06-28,91.11,,NON-CONTRIBUTION: MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
