form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00298000,SB21B.I11728,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD ,SUITE 400,TYSONS CORNER,VA,22182,,,2024-06-10,3000.00,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11729,,,ORG,DONOR BUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,222072003,,,2024-06-03,357.23,,PAC STATISTICAL MODELING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11730,,,ORG,GLOBAL PAYMENTS INC,,,,,,10705 RED RUN BLVD,,OWINGS MILLS,MD,211175134,,,2024-06-03,366.98,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11731,,,ORG,HSP DIRECT,,,,,,13755 SUNRISE DR,SUITE 450,HERNDON,VA,20171,,,2024-06-03,233.41,,PAC CREATIVE FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11733,,,ORG,HSP DIRECT,,,,,,13755 SUNRISE DR,SUITE 450,HERNDON,VA,20171,,,2024-06-13,2850.00,,PAC CREATIVE FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11734,,,ORG,HSP DIRECT,,,,,,13755 SUNRISE DR,SUITE 450,HERNDON,VA,20171,,,2024-06-27,670.00,,PAC CREATIVE FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11744,,,ORG,HSP DIRECT,,,,,,13755 SUNRISE DR,SUITE 450,HERNDON,VA,20171,,,2024-06-13,3375.31,,PAC CREATIVE FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11738,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PKWY,,DULLES,VA,201669211,,,2024-06-03,8927.32,,PAC POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11739,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PKWY,,DULLES,VA,201669211,,,2024-06-13,11115.17,,PAC PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11740,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PKWY,,DULLES,VA,201669211,,,2024-06-13,8321.92,,PAC PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11741,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PKWY,,DULLES,VA,201669211,,,2024-06-20,8000.00,,PAC PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11742,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PKWY,,DULLES,VA,201669211,,,2024-06-20,8260.07,,PAC POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11743,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PKWY,,DULLES,VA,201669211,,,2024-06-27,2841.16,,PAC POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11735,,,ORG,NOVA LIST COMPANY,,,,,,13755 SUNRISE VALLEY DR STE 450,,HERNDON,VA,201714682,,,2024-06-13,1741.26,,PAC LIST RENTAL & MAINTENANCE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11736,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,#300,ASHBURN,VA,20147,,,2024-06-13,477.49,,PAC DIRECT MAIL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00298000,SB21B.I11737,,,ORG,PROFESSIONAL DATA SERVICES,,,,,,824 S MILLEDGE AVE STE 101,,ATHENS,GA,30605,,,2024-06-04,2004.06,,PAC COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
