form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00760843,SB23.4472,,,CAN,,CITIZENS FOR TURNER,Mike,,,,120 W 2ND STREET,SUITE 1510,DAYTON,OH,45402,P2024,,2024-01-25,1000.00,,Donation,011,,,,CITIZENS FOR TURNER,Mike,,,,H,OH,10,,,,,,,,
SB23,C00760843,SB23.4479,,,CAN,,CITIZENS FOR TURNER,Mike,,,,120 W 2ND STREET,SUITE 1510,DAYTON,OH,45402,P2024,,2024-02-29,4000.00,,Donation,011,,,,CITIZENS FOR TURNER,Mike,,,,H,OH,10,,,,,,,,
SB23,C00760843,SB23.4480,,,CCM,DALE STRONG FOR CONGRESS,,,,,,P.O. BOX 18502,,HUNTSVILLE,AL,35804,P2024,,2024-02-29,5000.00,,Donation,011,C00774281,DALE STRONG FOR CONGRESS,,,,,,,H,AL,05,,,,,,,,
SB23,C00760843,SB23.4473,,,CAN,,JERRY CARL FOR CONGRESS,Jerry Carl,,,,PO BOX 852138,,MOBILE,AL,36685,P2024,,2024-01-25,1000.00,,Donation,011,,,,JERRY CARL FOR CONGRESS,Jerry Carl,,,,H,AL,01,,,,,,,,
SB23,C00760843,SB23.4477,,,CCM,KAINE ACTION FUND,,,,,,1751 POTOMAC GREENS DR,,ALEXANDRIA,VA,22314,P2024,,2024-02-23,1000.00,,Donation,011,C00833368,KAINE ACTION FUND,,,,,,,,,,,,,,,,,
SB23,C00760843,SB23.4487,,,CCM,KAPTUR FOR CONGRESS,,,,,,545 E TOWN ST,,COUMBUS,OH,43215,P2024,,2024-03-04,5000.00,,Donation,011,C00154625,KAPTUR FOR CONGRESS,,,,,,,H,OH,09,,,,,,,,
SB23,C00760843,SB23.4482,,,CCM,MIKE GARCIA FOR CONGRESS,,,,,,9070 IRVINE CENTER DRIVE #150,,IRVINE,CA,92618,P2024,,2024-02-29,2500.00,,Donation,011,C00701102,MIKE GARCIA FOR CONGRESS,,,,,,,H,CA,27,,,,,,,,
SB23,C00760843,SB23.4484,,,CAN,,MIKE ROGERS FOR CONGRESS,Mike Rogers,,,,123 EAST 13TH STREET,,ANNISTON,AL,36201,P2024,,2024-02-29,4000.00,,Donation,011,,,,MIKE ROGERS FOR CONGRESS,Mike Rogers,,,,H,AL,03,,,,,,,,
SB23,C00760843,SB23.4474,,,CCM,PETERS FOR MICHIGAN,,,,,,PO BOX 32072,,DETROIT,MI,48244,P2024,,2024-01-25,1000.00,,Donation,011,C00437889,,,,,,,,S,MI,00,,,,,,,,
SB23,C00760843,SB23.4485,,,CCM,ROBERT ADERHOLT FOR CONGRESS,,,,,,P. O. BOX 1158,,HALEYVILLE,AL,35565,P2024,,2024-02-29,5000.00,,Donation,011,C00313247,ROBERT ADERHOLT FOR CONGRESS,,,,,,,H,AL,04,,,,,,,,
