form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00441949,501407433,,,ORG,J Street,,,,,,PO Box 66073,,Washington,DC,200356073,P2024,,2024-06-17,769.67,0.00,"In-Kind: See Schedule B, Line 23 of June Monthly Report",,C00845008,,,TRANEL,MONICA,,,,H,MT,01,,,,,,,X,*
SB21B,C00441949,501407434,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-06-09,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501407435,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-06-10,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501407436,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-06-13,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501407437,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-06-14,0.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501407438,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-06-17,0.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501407439,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-06-20,0.25,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501407440,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-06-21,0.75,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501407441,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-06-23,0.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501407442,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-06-29,0.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00441949,501407457,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,941034918,,,2024-06-30,431.77,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
