form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00007922,500067744,,,PAC,All For Our Country Leadership PAC,,,,,,611 Pennsylvania Ave SE,# 143,Washington,DC,200034303,,,2023-06-05,2500.00,0.00,Contribution,011,C00629212,All For Our Country Leadership PAC,,,,,,,,,,,,,,,,,
SB23,C00007922,500067975,,,PAC,Biden Victory Fund,,,,,,430 S Capitol St SE,,Washington,DC,200034024,,,2023-06-16,235000.00,0.00,Contribution,011,C00744946,Biden Victory Fund,,,,,,,,,,,,,,,,,
SB23,C00007922,500067976,,,PAC,Biden Victory Fund,,,,,,430 S Capitol St SE,,Washington,DC,200034024,,,2023-06-16,160000.00,0.00,Contribution,011,C00744946,Biden Victory Fund,,,,,,,,,,,,,,,,,
SB23,C00007922,500068119,,,CCM,Bob Casey For Senate Inc,,,,,,PO Box 58746,,Philadelphia,PA,191028746,G2024,,2023-06-28,5000.00,0.00,Contribution,011,C00431056,,,Casey,Bob,P.,Sen.,Jr.,S,PA,,,,,,,,,
SB23,C00007922,500067858,,,CCM,Cartwright For Congress,,,,,,PO Box 414,,Scranton,PA,185010414,P2024,,2023-06-08,2500.00,0.00,Contribution,011,C00509968,,,Cartwright,Matt,,,,H,PA,08,,,,,,,,
SB23,C00007922,500068079,,,CCM,Casten for Congress,,,,,,PO Box 132,,Downers Grove,IL,605150132,P2024,,2023-06-23,5000.00,0.00,Contribution,011,C00648493,,,Casten,Sean,,,,H,IL,06,,,,,,,,
SB23,C00007922,500068084,,,CCM,Chris Deluzio for Congress,,,,,,PO Box 16210,,Pittsburgh,PA,152420210,P2024,,2023-06-26,4000.00,0.00,Contribution,011,C00787648,,,Deluzio,Christopher,,,,H,PA,17,,,,,,,,
SB23,C00007922,500068086,,,CCM,Citizens For Boyle,,,,,,PO Box 14310,,Philadelphia,PA,191150310,P2024,,2023-06-26,2500.00,0.00,Contribution,011,C00543363,,,Boyle,Brendan,F.,,,H,PA,02,,,,,,,,
SB23,C00007922,500067741,,,CCM,Deborah Ross for Congress,,,,,,PO Box 28258,,Raleigh,NC,276118258,P2024,,2023-06-05,1000.00,0.00,Contribution,011,C00729277,,,Ross,Deborah,,,,H,NC,02,,,,,,,,
SB23,C00007922,500068082,,,CCM,Don Davis for NC,,,,,,PO Box 511,,Snow Hill,NC,285800511,P2024,,2023-06-26,5000.00,0.00,Contribution,011,C00795211,,,Davis,Don,,,,H,NC,01,,,,,,,,
