form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00599084,SB23.8856,,,CAN,,BEAN,AARON P.,,,,P.O. BOX 16251,,FERNANDINA BEACH,FL,32035,G2024,,2024-05-22,1000.00,,PCGPAC contribution to Aaron Bean for Congress,011,C00816983,AARON BEAN FOR CONGRESS,,,,,,,H,FL,04,,,,,,,,
SB23,C00599084,SB23.8836,,,CAN,,CLYBURN,JAMES E.,,,,501 JUNIPER STREET,,COLUMBIA,SC,29203,G2024,,2024-04-18,2500.00,,PCGPAC contribution to Friends of Jim Clyburn,011,C00255562,FRIENDS OF JIM CLYBURN,,,,,,,H,SC,06,,,,,,,,
SB23,C00599084,SB23.8842,,,CAN,,COSTA,JIM,,,,2037 WEST BULLARD,#355,FRESNO,CA,93711,G2024,,2024-05-15,1000.00,,PCGPAC contribution to Jim Costa for Congress,011,C00391029,JIM COSTA FOR CONGRESS,,,,,,,H,CA,16,,,,,,,,
SB23,C00599084,SB23.8865,,,CAN,,CUELLAR,HENRY,,,,1519 WASHINGTON STREET,SUITE 200,LAREDO,TX,78040,G2024,,2024-06-25,1000.00,,PCGPAC contribution to Texans for Henry Cuellar,011,C00371302,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,,,,,,,H,TX,28,,,,,,,,
SB23,C00599084,SB23.8841,,,CAN,,FEDORCHAK,JULIE,,,,PO BOX 2422,,BISMARCK,ND,58502,G2024,,2024-05-09,1000.00,,PCGPAC contribution to Fedorchak for ND,011,C00869370,FEDORCHAK FOR ND,,,,,,,H,ND,00,,,,,,,,
SB23,C00599084,SB23.8861,,,CAN,,JACKSON,RONNY LYNN,,,,PO BOX 53058,,AMARILLO,TX,79159,G2024,,2024-06-18,3300.00,,PCGPAC contribution to Texas for Ronny Jackson,011,C00730531,TEXANS FOR RONNY JACKSON,,,,,,,H,TX,13,,,,,,,,
SB23,C00599084,SB23.8837,,,CAN,,MORAN,JERRY,,,,2400 SUMAC DR,,MANHATTAN,KS,66502,G2024,,2024-04-28,5000.00,,PCGPAC contribution to Moran Victory Committee,011,C00616268,MORAN VICTORY COMMITTEE,,,,,,,,,,,,,,,,,
SB23,C00599084,SB23.8843,,,CAN,,PALMER,GARY,,,,1919 OXMOOR RD #235,,BIRMINGHAM,AL,35209,G2024,,2024-05-15,1000.00,,PCGPAC contribution to Palmer for Congress,011,C00551374,PALMER FOR CONGRESS,,,,,,,H,AL,06,,,,,,,,
SB23,C00599084,SB23.8850,,,CAN,,SMITH,JASON T,,,,45943 HIGHWAY 72,,SALEM,MO,65560,G2024,,2024-05-16,2500.00,,PCGPAC contribution to Jason Smith for Congress,011,C00541862,JASON SMITH FOR CONGRESS,,,,,,,H,MO,08,,,,,,,,
SB23,C00599084,SB23.8868,,,CAN,,STEFANIK,ELISE M.,,,,PO BOX 500,,GLENS FALLS,NY,12801,G2024,,2024-05-16,2500.00,,PCGPAC contribution to Elise Victory Fund,011,C00630632,ELISE VICTORY FUND,,,,,,,,,,,,,,,,,
SB23,C00599084,SB23.8860,,,CAN,,ZINKE,RYAN K,,,,409 2ND ST W,,WHITEFISH,MT,59937,G2024,,2024-05-22,1000.00,,PCGPAC contribution to Zinke for Congress,011,C00778159,ZINKE FOR CONGRESS,,,,,,,H,MT,01,,,,,,,,
