form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00011114,500027703,,,ORG,Harland Clarke,,,,,,15955 La Cantera Parkway,,San Antonio,TX,782562589,,,2023-11-09,272.04,0.00,Merchant Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027927,,,ORG,Ohio Civil Svc Emps Assoc,,,,,,390 Worthington Rd,Ste A,Westerville,OH,430828329,,,2023-11-17,202.40,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027718,,,ORG,"Square, Inc.",,,,,,1455 Market St,Ste 600,San Francisco,CA,941031332,,,2023-11-06,2.91,0.00,service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027719,,,ORG,"Square, Inc.",,,,,,1455 Market St,Ste 600,San Francisco,CA,941031332,,,2023-11-09,2.91,0.00,service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027720,,,ORG,"Square, Inc.",,,,,,1455 Market St,Ste 600,San Francisco,CA,941031332,,,2023-11-13,3.61,0.00,service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027721,,,ORG,"Square, Inc.",,,,,,1455 Market St,Ste 600,San Francisco,CA,941031332,,,2023-11-16,0.50,0.00,service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027609,,,ORG,UnionWare,,,,,,P.O. Box 930473,,Atlanta,GA,311930473,,,2023-11-08,912.60,0.00,Merchant Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027904,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-01,21.85,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027905,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-02,26.14,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027906,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-03,16.54,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027907,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-06,36.59,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027908,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-07,11.83,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027909,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-08,42.85,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027910,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-09,27.85,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027911,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-10,1.08,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027912,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-16,37.20,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027913,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-17,7.71,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027914,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-20,9.19,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027915,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-21,17.25,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027916,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-22,33.81,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027917,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-24,5.80,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027918,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-27,3.85,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027919,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-28,8.05,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027920,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-29,14.94,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027921,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-11-30,15.45,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
