form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00206177,SB29.69594,,,CCM,Chris Gahagan for KC,,,,,,7507 NE 75th Court,,Kansas City,MO,64158,,,2023-01-27,500.00,,City Council 1st District,,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69596,,,CCM,Committee to Elect Andrea Bough,,,,,,P.O. Box 140188,,Kansas City,MO,64141,,,2023-01-27,500.00,,6th District At-Large Kansas City Council,,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69585,,,CCM,Committee to Elect Bryon Craddolph,,,,,,P.O. Box 1092,,Blue Springs,MO,64013,,,2023-01-12,250.00,,For City Council District 2,,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69603,,,CCM,Committee to Elect Irene C. Kendrick,,,,,,12319 Jackson,,Grandview,MO,64030,,,2023-02-23,250.00,,HMC1 School Board,,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69599,,,CCM,Committee to Elect Jim Aziere,,,,,,6521 Englewood,,Raytonw,MO,64133,,,2023-02-10,250.00,,Raytown Alderman Ward 2,,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69605,,,CCM,Committee to Elect Melissa Patterson Hazley,,,,,,P.O. Box 270510,,Kansas City,MO,64127,,,2023-02-23,500.00,,for KCMO Council 3rd District At-Large,,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69592,,,CCM,Curls for Council,,,,,,P.O.Box 9722,,Kansas City,MO,64134,,,2023-01-27,500.00,,KCMO Council 5th District At-Large,,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69590,,,CCM,Garza for Raytown,,,,,,8120 Appleton Avenue,,Raytown,MO,64138,,,2023-01-27,500.00,,"Raytown Board of Alderman, Ward 4",,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69581,,,ORG,Kansas AFL-CIO,,,,,,2132 SW 36th St.,,Topeka,KS,66611,,,2023-01-27,500.00,,Annual Labor's Kitchen BBQ Event,,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69582,,,PTY,Kansas Democratic Party,,,,,,PO Box 1914,,Topeka,KS,66601,,,2023-02-10,2000.00,,WAshington Days 2023 Table Sponsor,,C00019380,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69597,,,CCM,LAURA WAGNER NKC SCHOOLS,,,,,,7922 N.Park Ave,,Kansas City,MO,64118,,,2023-02-10,500.00,,North Kansas City School Board District of Clay County,,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69601,,,CCM,Lindsay French for KC,,,,,,P.O. Box 901958,,Kansas City,MO,64190,,,2023-02-10,500.00,,for KCMO Council 2nd District At-Large,,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69589,,,CCM,MISSOURI AFL-CIO SPECIAL REGISTRATION,,,,,,227 JEFFERSON ST,,JEFFERSON CITY,MO,65101,,,2023-01-27,1500.00,,Member Contributin for Education Fund,,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69587,,,CCM,Platte Co. Democratic Central Commitee,,,,,,P.O. Box 12051,,Parkville,MO,64152,,,2023-01-27,1000.00,,Second Annual Music & Mimosas Brunch Event,,,,,,,,,,,,,,,,,,,,
SB29,C00206177,SB29.69583,,,CCM,Whitney Yadrich for Merriam City Council,,,,,,9620 W. 57th Place,,Merriam,KS,66203,,,2023-02-10,250.00,,For Merriam City Council Ward 2,,,,,,,,,,,,,,,,,,,,
