form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00068528,33BE1755CF4737A979F,,,CCM,Adrian Smith For Congress,,,,,,1126 Avenue A,Ste 6,Scottsbluff,NE,693613563,G2024,,2024-05-21,2500.00,,Political Contribution,011,C00412890,,H6NE03115,Smith,Adrian,Michael,,,H,NE,03,,,,,,,,
SB23,C00068528,48CD2C96D6ED71DC89D,,,PAC,Beyond Thoughts And Prayers PAC,,,,,,PO Box 600698,,Newtonville,MA,02460,O2024,Contribution,2024-05-21,2500.00,,Political Contribution,011,C00786392,Beyond Thoughts And Prayers PAC,,,,,,,,,,,,,,,,,
SB23,C00068528,F690E98AB6890F7A57A,,,PAC,Bfb PAC,,,,,,122 C St NW,Ste 360,Washington,DC,20001,O2024,Contribution,2024-05-02,5000.00,,Political Contribution,011,C00584805,Bfb PAC,,,,,,,,,,,,,,,,,
SB23,C00068528,0FCC5CBACA957E0007E,,,PAC,Bold Active Conservatives Of Nebraska PAC,,,,,,228 S Washington St,Ste 115,Alexandria,VA,22314,O2024,Contribution,2024-05-21,1500.00,,Political Contribution,011,C00647420,Bold Active Conservatives Of Nebraska PAC,,,,,,,,,,,,,,,,,
SB23,C00068528,87D2F562AD0FAB33C5C,,,CCM,Brittany Pettersen For Colorado,,,,,,PO Box 150887,,Lakewood,CO,80215,P2024,,2024-05-02,2000.00,,Political Contribution,011,C00637215,,H8CO07045,Pettersen,Brittany,L.,,,H,CO,07,,,,,,,,
SB23,C00068528,9441D796BCA2B2B7B79,,,CCM,Deb Fischer For US Senate,,,,,,"5555 SOUTH ST, STE. 200",,LINCOLN,NE,68506,G2024,,2024-05-02,1500.00,,Political Contribution; Refund of excessive contribution will be reported in next month's report,011,C00498907,,S2NE00094,Fischer,Debra,S.,,,S,NE,,,,,,,,,
SB23,C00068528,595C7F0B5BADB5B40DC,,,CCM,DelBene for Congress,,,,,,PO Box 477,,Kirkland,WA,98083,P2024,,2024-05-02,2500.00,,Political Contribution,011,C00459099,,H0WA08046,DelBene,Suzan,Kay,,,H,WA,01,,,,,,,,
SB23,C00068528,2CD4C98014E4FA0D9F5,,,CCM,French Hill For Arkansas,,,,,,PO Box 7841,,Little Rock,AR,72217,G2024,,2024-05-02,2500.00,,Political Contribution,011,C00551275,,H4AR02141,Hill,J. French,,,,H,AR,02,,,,,,,,
SB23,C00068528,A5433A82C40FB4F5725,,,CCM,Himes For Congress,,,,,,857 Post Rd,# 312,Fairfield,CT,06824,P2024,,2024-05-21,2500.00,,Political Contribution,011,C00434191,,H8CT04172,Himes,James,Andrew,,,H,CT,04,,,,,,,,
SB23,C00068528,9DCE1E9A93545F69E3F,,,CCM,Huizenga For Congress,,,,,,PO Box 254,,Zeeland,MI,494641509,G2024,,2024-05-21,2500.00,,Political Contribution,011,C00459297,,H0MI02094,Huizenga,William,Patrick,,,H,MI,04,,,,,,,,
SB23,C00068528,92F99C8FC7D1D51BD7D,,,CCM,Jimmy Panetta For Congress,,,,,,PO Box 103,,Carmel Valley,CA,93924,G2024,,2024-05-02,2500.00,,Political Contribution,011,C00592154,,H6CA20152,Panetta,James,V.,,,H,CA,19,,,,,,,,
SB23,C00068528,D8340A1FCF9C324D79B,,,CCM,Joe Morelle For Congress,,,,,,PO Box 90914,,Rochester,NY,14609,P2024,,2024-05-02,1000.00,,Political Contribution,011,C00675108,,H8NY25105,Morelle,Joseph,D.,,,H,NY,25,,,,,,,,
SB23,C00068528,281EEED2E2A163DBAAF,,,CCM,Mad 4 Pa PAC,,,,,,PO Box 444,,Glenside,PA,19038,G2024,,2024-05-21,1500.00,,Political Contribution,011,C00670844,,H8PA04116,Dean Cunnane,Madeleine,,,,H,PA,04,,,,,,,,
SB23,C00068528,42C5C24ECBBFDEA7AF9,,,PAC,Pete Ricketts Victory Fund,,,,,,1327 H St,Ste 101,Lincoln,NE,68508,O2024,Contribution,2024-05-07,5000.00,,2024 Contribution,011,C00832949,Pete Ricketts Victory Fund,,,,,,,,,,,,,,,,,
SB23,C00068528,30A5A091AA3CABD4A7D,,,PAC,American Excellence PAC,,,,,,1327 H St,Ste 101,Lincoln,NE,68508,O2024,Contribution,2024-05-07,5000.00,,Allocation from Pete Ricketts Victory Fund,011,C00832501,American Excellence PAC,,,,,,,,,,,,,,,,X,
SB23,C00068528,302E20F423761175814,,,CCM,Terri Sewell For Congress,,,,,,PO Box 1964,,Birmingham,AL,35201,G2024,,2024-05-02,2500.00,,Political Contribution,011,C00458976,,H0AL07086,Sewell,Terrycina,Andrea,,,H,AL,07,,,,,,,,
SB23,C00068528,782B23C8BDF04094915,,,CCM,Vern Buchanan For Congress,,,,,,PO Box 48928,,Sarasota,FL,34230,P2024,,2024-05-02,2500.00,,Political Contribution,011,C00412759,,H6FL13148,Buchanan,Vernon,Gale,,,H,FL,16,,,,,,,,
