form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00700260,SB21B.I13029,,,ORG,KEY & ASSOCIATES,,,,,,12176 CHANCERY STATION CIRCLE,,RESTON,VA,20190,,,2023-08-03,4000.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00700260,SB21B.I13025,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-08-04,200.30,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00700260,SB21B.I13026,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-09-11,240.60,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00700260,SB21B.I13019,,,ORG,VISA,,,,,,PO BOX 6818,,CAROL STREAM,IL,60197,,,2023-09-12,10551.22,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00700260,SB21B.I13030,SB21B.I13019,SB21B,ORG,FIREFLY,,,,,,535 N RICHARD JACKSON BLVD,,PANAMA CITY BEACH,FL,32407,,,2023-09-12,10551.22,,CATERING / FACILITY RENTAL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00700260,SB21B.I13021,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-10-03,1410.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00700260,SB21B.I13022,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-11-03,1296.42,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00700260,SB21B.I13023,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-11-27,430.55,,COMPLIANCE CONSULTING / DELIVERY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00700260,SB21B.I13020,,,ORG,VISA,,,,,,PO BOX 6818,,CAROL STREAM,IL,60197,,,2023-11-27,2907.12,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00700260,SB21B.I13031,SB21B.I13020,SB21B,ORG,CUVEE 30A,,,,,,12805 US HIGHWAY 98E D101,,INLET BEACH,FL,32461,,,2023-11-27,2907.12,,CATERING / FACILITY RENTAL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00700260,SB21B.I13024,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2023-12-20,1233.75,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00700260,SB21B.I13027,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-12-21,0.40,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
