form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00606962,SB29.202576,,,ORG,"ACORN Graphix, LLC",,,,,,3634 Woodpath Drive,,Florissant,MO,63031,,,2024-10-07,375.00,,Printed Literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202578,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-09,1526.96,,Direct Mail for nonfederal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202579,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-09,7177.14,,Direct Mail for nonfederal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202583,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-09,23468.31,,mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202584,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-09,24908.92,,mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202586,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-09,40825.00,,mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202582,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-15,8860.98,,mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202585,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-15,25227.20,,mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202587,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-15,57245.62,,mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202544,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-16,45620.75,,mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202545,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-16,45620.75,,mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202580,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-16,14246.13,,Direct Mail for nonfederal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202581,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-16,14246.13,,Direct Mail for nonfederal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202590,,,ORG,Base Builder,,,,,,77 Sands Street,6th Floor,Brooklyn,NY,11201,,,2024-10-01,326550.00,,canvassing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202588,,,ORG,Base Builder,,,,,,77 Sands Street,6th Floor,Brooklyn,NY,11201,,,2024-10-10,100000.00,,canvassing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.202605,,,ORG,Best Print and Design,,,,,,4187 Snapfinger Woods,,Decatur,GA,30035,,,2024-10-10,3643.67,,WFP Hoodies,,,,,,,,,,,,,,,,,,,,
