form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00849729,500172177,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-01,100000.00,2024-10-01,24562388.26,Digital Media Buy,,,S,S6MT00162,Tester,Jon,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500172178,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-01,200000.00,2024-10-01,24562388.26,Digital Media Buy,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500172182,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-01,429050.00,2024-10-01,24562388.26,Digital Media Buy,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500172183,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-01,159629.70,2024-10-01,24562388.26,Digital Media Buy,,,S,S6MT00162,Tester,Jon,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500172636,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-08,133900.00,2024-10-04,24562388.26,Digital Media Buy,,,S,S6MT00162,Tester,Jon,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500172637,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-08,431100.00,2024-10-04,24562388.26,Digital Media Buy,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500172179,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-01,3395.50,2024-10-09,24562388.26,Digital Media Production Costs,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173071,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-09,425.00,2024-10-09,24562388.26,Digital Media Production Costs,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173141,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-11,250.00,2024-10-11,24562388.26,Media Production Costs,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173381,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-15,8128.00,2024-10-11,24562388.26,Digital Media Production Costs,,,S,S6MT00162,Tester,Jon,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
SE,C00849729,500173382,,,ORG,"MVAR Media, LLC",,,,,,1199 N Fairfax St,Ste 220,Alexandria,VA,223141437,G2024,,2024-10-15,5956.66,2024-10-11,24562388.26,Digital Media Production Costs,,,O,S4MT00183,Sheehy,Tim,,,,S,00,MT,Lewis,David,M,,,2024-10-24,
