form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00530766,SB21B.I32850,,,IND,,BIRNBAUM,MARIA,,,,2800 SHIRLINGTON ROAD,SUITE 1200,ARLINGTON,VA,22206,,,2024-10-18,4550.90,,SALARIES & TAXES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00530766,SB21B.I32851,,,IND,,BIRNBAUM,MARIA,,,,2800 SHIRLINGTON ROAD,SUITE 1200,ARLINGTON,VA,22206,,,2024-11-01,6736.15,,SALARIES & TAXES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00530766,SB21B.I32852,,,IND,,BIRNBAUM,MARIA,,,,2800 SHIRLINGTON ROAD,SUITE 1200,ARLINGTON,VA,22206,,,2024-11-15,4542.15,,SALARIES & TAXES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00530766,SB21B.I32853,,,IND,,MEYER,SUZANNE,,,,2800 SHIRLINGTON AVE STE 1200,,ARLINGTON,VA,22206,,,2024-10-21,364.76,,MILEAGE REIMBURSEMENT,002,,,,,,,,,,,,  ,,,,,,,
SB21B,C00530766,SB21B.I32854,,,IND,,WILKERSON,JEREMIAH,,,,2800 SHIRLINGTON ROAD,SUITE 1200,ARLINGTON,VA,22206,,,2024-11-08,781.19,,"MILEAGE, MEAL REIMBURSEMENT",002,,,,,,,,,,,,  ,,,,,,,
SB21B,C00530766,SB21B.I32857,,,IND,,WILKERSON,JEREMIAH,,,,2800 SHIRLINGTON ROAD,SUITE 1200,ARLINGTON,VA,22206,,,2024-11-08,275.00,,GIFTS,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00530766,SB21B.I32849,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2024-11-25,403.74,,CREDIT CARD PROCESSING FEES,001,,,,,,,,,,,,  ,,,,,,,CREDIT CARD PROCESSING FEES
SB21B,C00530766,SB21B.I32858,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-11-15,741.13,,BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00530766,SB21B.I32855,,,ORG,CMDI,,,,,,1595 SPRING HILL RD STE 500,,TYSONS CORNER,VA,22182,,,2024-10-22,250.00,,DUES & SUBSCRIPTIONS,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00530766,SB21B.I32869,,,ORG,DENTONS,,,,,,1900 K STREET NW,,WASHINGTON,DC,20006,G2024,,2024-11-20,3190.00,,LEGAL,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00530766,2024.10.22,,,ORG,Dentons US LLP,,,,,,1900 K Street NW,,Washington,DC,20006,G2024,,2024-10-22,6332.50,,Legal,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00530766,2024.10.21,,,ORG,"EAN Services, LLC",,,,,,P.O. Box 402383,,Atlanta,GA,30384,G2024,,2024-10-21,414.26,,Travel - Car rental,002,,,,,,,,,,,,  ,,,,,,,
SB21B,C00530766,SB21B.I32868,,,ORG,EVOLVING STRATEGIES,,,,,,3125 1ST PLACE NORTH,,ARLINGTON,VA,22201,G2024,,2024-11-14,6557.00,,MODELING DATA,001,,,,,,,,,,,,  ,,,,,,,
