form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00571000,SB23.9998,,,PAC,ALASKA REPUBLICAN PARTY,,,,,,PO BOX 110707,,ANCHORAGE,AK,99511,O2024,Annual,2024-05-23,5000.00,,Contribution,,C00253260,,,,,,,,,,,,,,,,,,
SB23,C00571000,SB23.10118,,,CCM,CAPITO FOR WEST VIRGINIA,,,,,,PO BOX 11519,,CHARLESTON,WV,25339,P2026,,2024-06-19,5000.00,,Contribution,,C00539825,CAPITO FOR WEST VIRGINIA,S4WV00159,CAPITO,SHELLEY MOORE,,,,S,WV,00,,,,,,,,
SB23,C00571000,SB23.10119,,,CCM,CAPITO FOR WEST VIRGINIA,,,,,,PO BOX 11519,,CHARLESTON,WV,25339,G2026,,2024-06-19,5000.00,,Contribution,,C00539825,CAPITO FOR WEST VIRGINIA,S4WV00159,CAPITO,SHELLEY MOORE,,,,S,WV,00,,,,,,,,
SB23,C00571000,SB23.10115,,,CCM,COLLINS FOR SENATOR,,,,,,PO BOX 1096,,BANGOR,ME,04402,P2026,,2024-06-18,5000.00,,Contribution,,C00314575,COLLINS FOR SENATOR,S6ME00159,COLLINS,SUSAN,M.,,,S,ME,00,,,,,,,,
SB23,C00571000,SB23.10116,,,CCM,COLLINS FOR SENATOR,,,,,,PO BOX 1096,,BANGOR,ME,04402,G2026,,2024-06-18,5000.00,,Contribution,,C00314575,COLLINS FOR SENATOR,S6ME00159,COLLINS,SUSAN,M.,,,S,ME,00,,,,,,,,
SB23,C00571000,SB23.10113,,,CCM,COTTON FOR SENATE,,,,,,PO BOX 7839,,LITTLE ROCK,AR,72217,P2026,,2024-06-18,5000.00,,Contribution,,C00499988,COTTON FOR SENATE,S4AR00103,COTTON,THOMAS,,,,S,AR,00,,,,,,,,
SB23,C00571000,SB23.10114,,,CCM,COTTON FOR SENATE,,,,,,PO BOX 7839,,LITTLE ROCK,AR,72217,G2026,,2024-06-18,5000.00,,Contribution,,C00499988,COTTON FOR SENATE,S4AR00103,COTTON,THOMAS,,,,S,AR,00,,,,,,,,
SB23,C00571000,SB23.10016,,,CCM,GRASSLEY COMMITTEE INC,,,,,,PO BOX 1000,,DES MOINES,IA,50304,P2028,,2024-06-14,5000.00,,Contribution,,C00230482,GRASSLEY COMMITTEE INC,S0IA00028,GRASSLEY,CHARLES,E.,,,S,IA,00,,,,,,,,
SB23,C00571000,SB23.10017,,,CCM,GRASSLEY COMMITTEE INC,,,,,,PO BOX 1000,,DES MOINES,IA,50304,G2028,,2024-06-14,5000.00,,Contribution,,C00230482,GRASSLEY COMMITTEE INC,S0IA00028,GRASSLEY,CHARLES,E.,,,S,IA,00,,,,,,,,
SB23,C00571000,SB23.10120,,,CCM,JIM RISCH FOR U.S. SENATE COMMITTEE,,,,,,407 W JEFFERSON STREET,,BOISE,ID,83702,P2026,,2024-06-18,5000.00,,Contribution,,C00440362,JIM RISCH FOR U.S. SENATE COMMITTEE,S8ID00092,RISCH,JAMES,E.,,,S,ID,00,,,,,,,,
SB23,C00571000,SB23.10121,,,CCM,JIM RISCH FOR U.S. SENATE COMMITTEE,,,,,,407 W JEFFERSON STREET,,BOISE,ID,83702,G2026,,2024-06-18,5000.00,,Contribution,,C00440362,JIM RISCH FOR U.S. SENATE COMMITTEE,S8ID00092,RISCH,JAMES,E.,,,S,ID,00,,,,,,,,
SB23,C00571000,SB23.10108,,,CCM,JONI FOR IOWA,,,,,,PO BOX 93441,,DES MOINES,IA,50393,P2026,,2024-06-18,5000.00,,Contribution,,C00546788,JONI FOR IOWA,S4IA00129,ERNST,JONI K,,,,S,IA,00,,,,,,,,
SB23,C00571000,SB23.10110,,,CCM,JONI FOR IOWA,,,,,,PO BOX 93441,,DES MOINES,IA,50393,G2026,,2024-06-18,5000.00,,Contribution,,C00546788,JONI FOR IOWA,S4IA00129,ERNST,JONI K,,,,S,IA,00,,,,,,,,
SB23,C00571000,SB23.10012,,,CCM,ROUNDS FOR SENATE,,,,,,PO BOX 250,,PIERRE,SD,57501,P2026,,2024-06-13,5000.00,,Contribution,,C00532465,ROUNDS FOR SENATE,S4SD00049,ROUNDS,MIKE,,,,S,SD,00,,,,,,,,
SB23,C00571000,SB23.10013,,,CCM,ROUNDS FOR SENATE,,,,,,PO BOX 250,,PIERRE,SD,57501,G2026,,2024-06-13,5000.00,,Contribution,,C00532465,ROUNDS FOR SENATE,S4SD00049,ROUNDS,MIKE,,,,S,SD,00,,,,,,,,
SB23,C00571000,SB23.10111,,,CCM,STEVE DAINES FOR MONTANA,,,,,,PO BOX 1598,,HELENA,MT,59624,P2026,,2024-06-18,5000.00,,Contribution,,C00491357,STEVE DAINES FOR MONTANA,S2MT00096,DAINES,STEVEN,,,,S,MT,00,,,,,,,,
SB23,C00571000,SB23.10112,,,CCM,STEVE DAINES FOR MONTANA,,,,,,PO BOX 1598,,HELENA,MT,59624,G2026,,2024-06-18,5000.00,,Contribution,,C00491357,STEVE DAINES FOR MONTANA,S2MT00096,DAINES,STEVEN,,,,S,MT,00,,,,,,,,
SB23,C00571000,SB23.10014,,,CCM,THOM TILLIS COMMITTEE,,,,,,PO BOX 97396,,RALEIGH,NC,27624,P2026,,2024-06-13,5000.00,,Contribution,,C00545772,THOM TILLIS COMMITTEE,S4NC00162,TILLIS,THOM,R.,,,S,NC,00,,,,,,,,
SB23,C00571000,SB23.10015,,,CCM,THOM TILLIS COMMITTEE,,,,,,PO BOX 97396,,RALEIGH,NC,27624,G2026,,2024-06-13,5000.00,,Contribution,,C00545772,THOM TILLIS COMMITTEE,S4NC00162,TILLIS,THOM,R.,,,S,NC,00,,,,,,,,
