form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00860023,EB125,,,ORG,CitiBank Choice,,,,,,Box 9001037,,Louisville,KY,40290,G2024,,2024-10-19,798.42,,See below,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,XB33EB125,EB125,SB21B,ORG,Aldi #79073,,,,,,1330 E Valley Pkwy Ste M,,Escondido,CA,92027,G2024,,2024-10-19,58.80,,Food for volunteers preparing mailings,001,,,,,,,,,,,,CitiBank Choice,Box 9001037,,Louisville,KY,40290,X,
SB21B,C00860023,XB35EB125,EB125,SB21B,ORG,Costco  #1080,,,,,,725 Center Dr,,San Marcos,CA,92069,G2024,,2024-10-19,226.40,,Food for volunteers preparing mailings,001,,,,,,,,,,,,CitiBank Choice,Box 9001037,,Louisville,KY,40290,X,
SB21B,C00860023,XB34EB125,EB125,SB21B,ORG,Costco #0578,,,,,,7803 Othello Ave,,San Diego,CA,92111,G2024,,2024-10-19,513.22,,Food for volunteers preparing mailings,001,,,,,,,,,,,,CitiBank Choice,Box 9001037,,Louisville,KY,40290,X,
SB21B,C00860023,EB116,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-19,2561.43,,Printing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB121,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-19,7356.31,,Postage,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,XB31EB121,EB121,SB21B,ORG,U. S. Postal Service,,,,,,11251 Rancho Carmel Dr,,San Diego,CA,92199,,,2024-10-19,7356.31,,Postage,001,,,,,,,,,,,,Neyenesch Printers,2750 Kettner Blvd,,San Diego,CA,92101,X,
SB21B,C00860023,EB119,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-19,1203.65,,Mail handling,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB120,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-19,8260.77,,Postage,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,XB32EB120,EB120,SB21B,ORG,U. S. Postal Service,,,,,,11251 Rancho Carmel Dr,,San Diego,CA,92199,,,2024-10-19,8260.77,,Postage,001,,,,,,,,,,,,Neyenesch Printers,2750 Kettner Blvd,,San Diego,CA,92101,X,
SB21B,C00860023,EB118,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-19,1429.01,,Mail handling,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB117,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-19,2756.68,,Printing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB122,,,ORG,Capitol Media,,,,,,7947 Hemingway Ave,,San Diego,CA,92120,,,2024-10-24,4050.00,,Voter list access,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB129,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-24,9848.67,,Postage,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,XB36EB129,EB129,SB21B,ORG,U. S. Postal Service,,,,,,11251 Rancho Carmel Dr,,San Diego,CA,92199,,,2024-10-24,9548.67,,Postage,001,,,,,,,,,,,,Neyenesch Printers,2750 Kettner Blvd,,San Diego,CA,92101,X,
SB21B,C00860023,EB128,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-24,1926.32,,Mail handling,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB127,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-24,3359.81,,Printing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB126,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,G2024,,2024-10-24,72.90,,Mail handling,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB133,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-26,940.77,,Mail handling,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB134,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-26,5486.23,,Postage,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,XB37EB134,EB134,SB21B,ORG,U. S. Postal Service,,,,,,11251 Rancho Carmel Dr,,San Diego,CA,92199,,,2024-10-26,5486.23,,Postage,001,,,,,,,,,,,,Neyenesch Printers,2750 Kettner Blvd,,San Diego,CA,92101,X,
SB21B,C00860023,EB132,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-26,2110.53,,Printing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB137,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-27,13570.56,,Postage,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,XB38EB137,EB137,SB21B,ORG,U. S. Postal Service,,,,,,11251 Rancho Carmel Dr,,San Diego,CA,92199,,,2024-10-27,13570.56,,Postage,001,,,,,,,,,,,,Neyenesch Printers,2750 Kettner Blvd,,San Diego,CA,92101,X,
SB21B,C00860023,EB135,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-27,4828.28,,Printing,001,,,,,,,,,,,,,,,,,,,
SB21B,C00860023,EB136,,,ORG,Neyenesch Printers,,,,,,2750 Kettner Blvd,,San Diego,CA,92101,,,2024-10-27,3482.20,,Mail handling,001,,,,,,,,,,,,,,,,,,,
