form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00473918,500017063,,,ORG,Dixon Davis Media Group,,,,,,1028 33rd St NW,Ste 300,Washington,DC,200073571,G2024,,2024-09-03,14874.00,2024-09-05,2656078.33,TV Media Production,004,,O,S4WI00256,HOVDE,ERIC,,,,S,00,WI,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017065,,,ORG,McKenna Media,,,,,,3000 Chestnut Ave,Ste 101,Baltimore,MD,212112796,G2024,,2024-09-05,15920.14,2024-09-05,4398949.44,TV Production,004,,O,S4MD00483,HOGAN,LARRY,,,,S,00,MD,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017064,,,ORG,Waterfront Strategies,,,,,,PO Box 771733,,Saint Louis,MO,631771733,G2024,,2024-09-05,2180308.00,2024-09-04,4398949.44,TV Media Buy,004,,O,S4MD00483,HOGAN,LARRY,,,,S,00,MD,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017067,,,ORG,The Pivot Group,,,,,,712 H St NE,Unit 606,Washington,DC,200023627,G2024,,2024-09-05,625149.55,2024-09-12,5864100.87,Mailhouse,004,,S,P00009423,Harris,Kamala,,,,P,00,00,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017068,,,ORG,The Pivot Group,,,,,,712 H St NE,Unit 606,Washington,DC,200023627,G2024,,2024-09-05,69461.06,2024-09-12,5864100.87,Mailhouse,004,,O,P80001571,TRUMP,DONALD,J.,,,P,00,00,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017083,,,ORG,The Pivot Group,,,,,,712 H St NE,Unit 606,Washington,DC,200023627,G2024,,2024-09-11,676730.44,2024-09-05,5864100.87,Mailhouse,004,,S,P00009423,Harris,Kamala,,,,P,00,00,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017087,,,ORG,Waterfront Strategies,,,,,,PO Box 771733,,Saint Louis,MO,631771733,G2024,,2024-09-17,2180308.00,2024-09-16,4398949.44,TV Media Buy,004,,O,S4MD00483,HOGAN,LARRY,,,,S,00,MD,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017085,,,ORG,The Pivot Group,,,,,,712 H St NE,Unit 606,Washington,DC,200023627,G2024,,2024-09-16,609057.40,2024-09-05,5864100.87,Mailhouse,004,,S,P00009423,Harris,Kamala,,,,P,00,00,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017086,,,ORG,The Pivot Group,,,,,,712 H St NE,Unit 606,Washington,DC,200023627,G2024,,2024-09-16,67673.04,2024-09-05,5864100.87,Mailhouse,004,,O,P80001571,TRUMP,DONALD,J.,,,P,00,00,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017090,,,ORG,"Three Point Media, LLC",,,,,,290 Broadway,Ste 120,Methuen,MA,018446827,G2024,,2024-09-17,9411.83,2024-09-19,5864100.87,Digital Production,004,,O,P80001571,TRUMP,DONALD,J.,,,P,00,00,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017091,,,ORG,"Three Point Media, LLC",,,,,,290 Broadway,Ste 120,Methuen,MA,018446827,G2024,,2024-09-17,4635.67,2024-09-19,5864100.87,Digital Production,004,,S,P00009423,Harris,Kamala,,,,P,00,00,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017088,,,ORG,Wavelength Strategy LLC,,,,,,712 H St NE,Unit 526,Washington,DC,200023627,G2024,,2024-09-17,389999.96,2024-09-17,5864100.87,Digital Media Buy,004,,S,P00009423,Harris,Kamala,,,,P,00,00,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017089,,,ORG,Wavelength Strategy LLC,,,,,,712 H St NE,Unit 526,Washington,DC,200023627,G2024,,2024-09-17,780000.04,2024-09-17,5864100.87,Digital Media Buy,004,,O,P80001571,TRUMP,DONALD,J.,,,P,00,00,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017092,,,ORG,McKenna Media,,,,,,3000 Chestnut Ave,Ste 101,Baltimore,MD,212112796,G2024,,2024-09-21,22413.30,2024-09-26,4398949.44,TV Production,004,,O,S4MD00483,HOGAN,LARRY,,,,S,00,MD,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017093,,,ORG,MVAR Media LLC,,,,,,1421 Prince St,Ste 320,Alexandria,VA,223142805,G2024,,2024-09-24,83000.00,2024-09-24,169637.50,Digital Buy,004,,O,S4MI00595,Rogers,Michael,J,,,S,00,MI,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017094,,,ORG,MVAR Media LLC,,,,,,1421 Prince St,Ste 320,Alexandria,VA,223142805,G2024,,2024-09-24,637.50,2024-09-24,169637.50,Digital Production,004,,O,S4MI00595,Rogers,Michael,J,,,S,00,MI,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017095,,,ORG,WinSenate,,,,,,1032 15th St NW,Ste 247,Washington,DC,200051502,G2024,,2024-09-24,3000.00,2024-09-24,169637.50,In-kind Digital Production,004,,O,S4MI00595,Rogers,Michael,J,,,S,00,MI,Robinson,Denelle,,,,2024-10-20,
SE,C00473918,500017096,,,ORG,MVAR Media LLC,,,,,,1421 Prince St,Ste 320,Alexandria,VA,223142805,G2024,,2024-10-01,83000.00,2024-09-30,169637.50,Digital Buy,004,,O,S4MI00595,Rogers,Michael,J,,,S,00,MI,Robinson,Denelle,,,,2024-10-20,
