form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00698936,SB29.I3211,,,ORG,APC FIELDING LP,,,,,,1331 BRICKELL BAY DR.,APT 1008,MIAMI,FL,33131,,,2023-01-11,9234.40,,NON-CONTRIBUTION ACCT: TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3209,,,ORG,ATCHLEY & ASSOCIATES,,,,,,1005 LA POSADA DRIVE,,AUSTIN,TX,78752,,,2023-03-06,950.00,,NON-CONTRIBUTION ACCT: TAX CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3186,,,ORG,"BULLPEN STRATEGY GROUP, INC.",,,,,,1500 WILSON BLVD. 5TH FLOOR,,ARLINGTON,VA,22209,,,2023-04-07,1000.00,,NON-CONTRIBUTION ACCT: COMMUNICATIONS CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3187,,,ORG,"BULLPEN STRATEGY GROUP, INC.",,,,,,1500 WILSON BLVD. 5TH FLOOR,,ARLINGTON,VA,22209,,,2023-05-22,1000.00,,NON-CONTRIBUTION ACCT: COMMUNICATIONS CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3189,,,ORG,"BULLPEN STRATEGY GROUP, INC.",,,,,,1500 WILSON BLVD. 5TH FLOOR,,ARLINGTON,VA,22209,,,2023-06-05,1000.00,,NON-CONTRIBUTION ACCT: COMMUNICATIONS CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3203,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD SUITE 400,,VIENNA,VA,22182,,,2023-01-20,250.00,,NON-CONTRIBUTION ACCT: DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3204,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD SUITE 400,,VIENNA,VA,22182,,,2023-02-24,250.00,,NON-CONTRIBUTION ACCT: DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3205,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD SUITE 400,,VIENNA,VA,22182,,,2023-03-24,250.00,,NON-CONTRIBUTION ACCT: DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3206,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD SUITE 400,,VIENNA,VA,22182,,,2023-04-20,250.00,,NON-CONTRIBUTION ACCT: DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3207,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD SUITE 400,,VIENNA,VA,22182,,,2023-05-24,250.00,,NON-CONTRIBUTION ACCT: DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB29,C00698936,SB29.I3208,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD SUITE 400,,VIENNA,VA,22182,,,2023-06-19,250.00,,NON-CONTRIBUTION ACCT: DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
