form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00853887,500383324,,,ORG,"BCom Solutions, LLC",,,,,,747 O St,Unit 150,Lincoln,NE,685081401,,,2024-07-18,468.93,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383328,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,024517333,,,2024-07-18,110.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383327,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,024517333,,,2024-08-19,110.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383326,,,ORG,Constant Contact,,,,,,1601 Trapelo Rd,,Waltham,MA,024517333,,,2024-09-18,110.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383337,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-07-02,12.56,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383338,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-07-02,237.60,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383336,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-07-18,108.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383333,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-08-02,174.88,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383334,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-08-02,12.63,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383335,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-08-02,108.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383330,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-09-03,172.80,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00853887,500383331,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-09-03,12.63,0.00,Software,,,,,,,,,,,,,,,,,,,,
