form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00342733,SB23.5359,,,CAN,,ADAMS,ALMA SHEALEY,,,,PO BOX 31473,,CHARLOTTE,NC,28231,G2024,,2024-10-22,1000.00,,ALMA ADAMS FOR CONGRESS,,,,H4NC12100,ADAMS,ALMA SHEALEY,,,,H,NC,12,,,,,,,,
SB23,C00342733,SB23.5346,,,CAN,,DAVIS,DONALD (DON),,,,413 WEST GREENE STREET,,SNOW HILL,NC,28580,G2024,,2024-10-22,1000.00,,DON DAVIS FOR NORTH CAROLINA,,,,H4NC01053,DAVIS,DONALD (DON),,,,H,NC,01,,,,,,,,
SB23,C00342733,SB23.5354,,,CAN,,EDWARDS,CHUCK,,,,337 NORTH MAIN ST,,HENDERSONVILLE,NC,28792,G2024,,2024-10-22,1000.00,,CHUCK EDWARDS FOR CONGRESS,,,,H2NC14050,EDWARDS,CHUCK,,,,H,NC,11,,,,,,,,
SB23,C00342733,SB23.5349,,,CAN,,FOUSHEE,VALERIE,,,,145 RUBRUM DRIVE,,HILLSBOROUGH,NC,27278,G2024,,2024-10-22,1000.00,,FOUSHEE FOR CONGRESS,,,,H2NC06114,FOUSHEE,VALERIE,,,,H,NC,04,,,,,,,,
SB23,C00342733,SB23.5361,,,CAN,,FOXX,VIRGINIA ANN,,,,PO BOX 2676,,BOONE,NC,28607,G2024,,2024-10-22,500.00,,VIRGINIA FOXX FOR CONGRESS,,,,H4NC05146,FOXX,VIRGINIA ANN,,,,H,NC,05,,,,,,,,
SB23,C00342733,SB23.5351,,,CAN,,HUDSON,RICHARD L. JR.,,,,PO BOX 5053,,CONCORD,NC,28027,G2024,,2024-10-22,1000.00,,HUDSON FOR CONGRESS,,,,H2NC08185,HUDSON,RICHARD L. JR.,,,,H,NC,08,,,,,,,,
SB23,C00342733,SB23.5358,,,CAN,,KNOTT,BRAD,,,,PO BOX 97275,,RALEIGH,NC,27624,G2024,,2024-10-22,1000.00,,BRAD KNOTT FOR CONGRESS,,,,H4NC13116,KNOTT,BRAD,,,,H,NC,13,,,,,,,,
SB23,C00342733,SB23.5360,,,CAN,,MOORE,TIM,,,,PO BOX 97275,,RALEIGH,NC,27624,G2024,,2024-10-22,500.00,,FRIENDS OF TIM MOORE,,,,H4NC14015,MOORE,TIM,,,,H,NC,14,,,,,,,,
SB23,C00342733,SB23.5348,,,CAN,,MURPHY,GREGORY FRANCIS DR,,,,PO BOX 1131,,GREENVILLE,NC,27858,G2024,,2024-10-22,1000.00,,FRIENDS TO ELECT DR GREG MURPHY TO CONGRESS,,,,H0NC03172,MURPHY,GREGORY FRANCIS DR,,,,H,NC,03,,,,,,,,
SB23,C00342733,SB23.5347,,,CAN,,ROSS,DEBORAH,,,,PO BOX 28258,,RALEIGH,NC,27611,G2024,,2024-10-22,2500.00,,DEBORAH ROSS FOR CONGRESS,,,,H0NC02125,ROSS,DEBORAH,,,,H,NC,02,,,,,,,,
SB23,C00342733,SB23.5350,,,CAN,,ROUZER,DAVID CHESTON MR.,,,,108 PEACH ORCHARD DRIVE,,BENSON,NC,27504,G2024,,2024-10-22,1000.00,,DAVID ROUZER FOR CONGRESS,,,,H2NC07096,ROUZER,DAVID CHESTON MR.,,,,H,NC,07,,,,,,,,
