form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00773903,SB21B.I28337,,,ORG,"CAMPAIGN MAIL & DATA, INC. DBA CMDI",,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2024-11-14,250.00,,JFC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28269,,,ORG,CONFETTI'S PARTY RENTAL,,,,,,6000 S SHAKLEFORD RD ,,LITTLE ROCK,AR,72204,,,2024-11-01,318.66,,JFC EVENT RENTAL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28248,,,ORG,KOHLBERG KRAVIS ROBERTS & CO.,,,,,,30 HUDSON YARDS,,NEW YORK,NY,10001,,,2024-10-25,250.00,,JFC EVENT VENUE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28253,,,ORG,"PROFESSIONAL DATA SERVICES, INC",,,,,,824 SOUTH MILLEDGE AVENUE,STE 101,ATHENS,GA,30605,,,2024-10-28,2024.50,,JFC COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28286,,,ORG,"PROFESSIONAL DATA SERVICES, INC",,,,,,824 SOUTH MILLEDGE AVENUE,STE 101,ATHENS,GA,30605,,,2024-11-05,750.69,,JFC COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28233,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-10-24,1381.85,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28247,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-10-28,1632.20,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28252,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-10-28,2450.25,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28257,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-10-29,774.95,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28283,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-11-05,2325.57,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28336,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-11-13,431.70,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28282,,,ORG,SIMMONS BANK,,,,,,501 MAIN STREET,,PINE BLUFF,AR,71601,,,2024-11-05,70.00,,JFC BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28268,,,ORG,THE OORBEEK MEMMOTT GROUP,,,,,,"611 PENNSYLVANIA AVE, SE",#424,WASHINGTON,DC,20003,,,2024-11-03,3500.00,,JFC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28284,,,ORG,THE OORBEEK MEMMOTT GROUP,,,,,,"611 PENNSYLVANIA AVE, SE",#424,WASHINGTON,DC,20003,,,2024-11-05,82481.00,,JFC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00773903,SB21B.I28285,,,ORG,THE OORBEEK MEMMOTT GROUP,,,,,,"611 PENNSYLVANIA AVE, SE",#424,WASHINGTON,DC,20003,,,2024-11-05,2835.63,,JFC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
