form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00308478,SB23.14292,,,PAC,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),,,,,,PO BOX 1672,,ALEXANDRIA,VA,22313,,,2023-11-30,5000.00,,PAC to PAC,,C00413948,,,,,,,,,,,,,,,,,,
SB23,C00308478,SB23.14285,,,CCM,CAPTAIN HIGGINS FOR CONGRESS,,,,,,P.O. BOX 61747,,LAFAYETTE,LA,70596,P2024,,2023-11-02,5000.00,,Candidate contribution,011,C00617662,CAPTAIN HIGGINS FOR CONGRESS,H6LA03148,HIGGINS,CLAY CAPTAIN,,,,H,LA,03,,,,,,,,
SB23,C00308478,SB23.14294,,,CCM,HUDSON FOR CONGRESS,,,,,,PO BOX 5053,,CONCORD,NC,28027,P2024,,2023-11-30,1000.00,,Candidate contribution,011,C00504522,HUDSON FOR CONGRESS,H2NC08185,HUDSON,RICHARD L. JR.,,,,H,NC,08,,,,,,,,
SB23,C00308478,SB23.14289,,,CCM,JULIA LETLOW FOR CONGRESS,,,,,,905 JULIA ST,,RAYVILLE,LA,71269,P2024,,2023-11-09,4000.00,,Candidate contribution,011,C00766428,JULIA LETLOW FOR CONGRESS,H2LA05126,LETLOW,JULIA,,,,H,LA,05,,,,,,,,
SB23,C00308478,SB23.14290,,,CCM,JULIA LETLOW FOR CONGRESS,,,,,,905 JULIA ST,,RAYVILLE,LA,71269,G2024,,2023-11-09,1000.00,,Candidate contribution,011,C00766428,JULIA LETLOW FOR CONGRESS,H2LA05126,LETLOW,JULIA,,,,H,LA,05,,,,,,,,
SB23,C00308478,SB23.14293,,,CCM,KAT FOR CONGRESS,,,,,,5200 NW 43RD ST STE 102-180,,GAINESVILLE,FL,32606,P2024,,2023-11-30,1000.00,,Candidate contribution,011,C00730895,KAT FOR CONGRESS,H0FL03175,CAMMACK,KAT,,,,H,FL,03,,,,,,,,
SB23,C00308478,SB23.14288,,,CCM,KELLY FOR CONGRESS,,,,,,5221-A CLIFF GOOKIN BLVD,,TUPELO,MS,38801,P2024,,2023-11-09,5000.00,,Candidate contribution,011,C00352732,KELLY FOR CONGRESS,H6MS01131,KELLY,JOHN TRENT,,,,H,MS,01,,,,,,,,
SB23,C00308478,SB23.14295,,,CCM,MCHENRY FOR CONGRESS,,,,,,PO BOX 2165,,GASTONIA,NC,28053,P2024,,2023-11-30,1000.00,,Candidate contribution,011,C00393629,MCHENRY FOR CONGRESS,H4NC10047,MCHENRY,PATRICK TIMOTHY,,,,H,NC,10,,,,,,,,
SB23,C00308478,SB23.14286,,,CCM,SANFORD BISHOP FOR CONGRESS,,,,,,P O BOX 909,,COLUMBUS,GA,31902,P2024,,2023-11-09,2500.00,,Candidate contribution,011,C00266940,SANFORD BISHOP FOR CONGRESS,,,,,,,H,GA,02,,,,,,,,
SB23,C00308478,SB23.14287,,,CCM,SANFORD BISHOP FOR CONGRESS,,,,,,P O BOX 909,,COLUMBUS,GA,31902,G2024,,2023-11-09,2500.00,,Candidate contribution,011,C00266940,SANFORD BISHOP FOR CONGRESS,H2GA02031,BISHOP,SANFORD D JR.,,,,H,GA,02,,,,,,,,
SB23,C00308478,SB23.14291,,,CCM,WESTERMAN FOR CONGRESS,,,,,,PO Box 21097,,Hot Springs,AR,71903,G2024,,2023-11-16,2000.00,,Candidate contribution,011,C00548180,WESTERMAN FOR CONGRESS,H4AR04048,WESTERMAN,BRUCE,,,,H,AR,04,,,,,,,,
