form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00841155,SB21B.33,,,ORG,ERLING JENSEN'S RESTAURANT,,,,,,1044 S YATES RD ,,MEMPHIS ,TN,38119,,,2024-01-02,6736.13,,FOOD / BEVERAGE ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841155,SB21B.43,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,"1776 WILSON BOULEVARD, STE 530",,ARLINGTON,VA,22209,,,2024-01-02,960.00,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841155,SB21B.44,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,"1776 WILSON BOULEVARD, STE 530",,ARLINGTON,VA,22209,,,2024-01-03,355.94,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841155,SB21B.45,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,"1776 WILSON BOULEVARD, STE 530",,ARLINGTON,VA,22209,,,2024-01-06,105.60,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841155,SB21B.1,,,ORG,AMERICAN EXPRESS,,,,,,200 VESEY STREET ,,NEW YORK ,NY,10285,,,2024-01-08,6420.62,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841155,SB21B.3,SB21B.1,,ORG,BLACKCOLLAR,,,,,,421 S MAIN,,MEMPHIS ,TN,38103,,,2024-01-08,375.00,,EVENT ENTERTAINMENT ,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00841155,SB21B.2,SB21B.1,,ORG,DAVIO'S NORTHERN ITALIAN,,,,,,75 ARLINGTON ST,,BOSTON,MA,02116,,,2024-01-08,3487.25,,FOOD / BEVERAGE ,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00841155,SB21B.5,SB21B.1,,ORG,DUPREE CATERING & EVENTS LLC,,,,,,201 E MAIN ST,FL 15,LEXINGTON,KY,40507,,,2024-01-08,1618.62,,FOOD / BEVERAGE / CATERING SERVICES ,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00841155,SB21B.4,SB21B.1,,ORG,SOUTHERN VALET LLC,,,,,,100 GRANGE ST.,,PIPERTON,TN,38017,,,2024-01-08,939.75,,VALET SERVICES ,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00841155,SB21B.46,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,"1776 WILSON BOULEVARD, STE 530",,ARLINGTON,VA,22209,,,2024-01-08,160.00,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00841155,SB21B.28,,,ORG,CMDI,,,,,,"1593 SPRING HILL ROAD, SUITE 400",,TYSONS CORNER,VA,22182,,,2024-01-09,1062.21,,DATABASE MANAGEMENT ,,,,,,,,,,,,,  ,,,,,,,
