form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00740225,500193930,,,ORG,Person 2 Person Solutions LLC,,,,,,55 Washington St,Ste 702,Brooklyn,NY,112011063,G2024,,2024-10-28,54837.76,2024-10-28,54837.76,Print Ad Buy,,,O,H0NJ07261,Kean,Thomas,H.,,Jr.,H,07,NJ,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500190641,,,ORG,Declaration Media LLC,,,,,,1230 Trinidad Ave NE,,Washington,DC,200023814,G2024,,2024-10-21,375000.00,2024-10-21,400000.00,Digital Ad Buy,,,O,H2NY22212,Williams,Brandon,McDonald,,,H,22,NY,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500193491,,,ORG,SKDKnickerbocker LLC,,,,,,285 Fulton St,Fl 69,New York,NY,100070166,G2024,,2024-10-24,2000.00,2024-10-24,100000.00,Ad Production,,,O,H2CA37023,Calvert,Ken,,,,H,41,CA,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500190642,,,ORG,Declaration Media LLC,,,,,,1230 Trinidad Ave NE,,Washington,DC,200023814,G2024,,2024-10-21,25000.00,2024-10-21,400000.00,Ad Production,,,O,H2NY22212,Williams,Brandon,McDonald,,,H,22,NY,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500193492,,,ORG,SKDKnickerbocker LLC,,,,,,285 Fulton St,Fl 69,New York,NY,100070166,G2024,,2024-10-24,98000.00,2024-10-24,100000.00,Digital Ad Buy,,,O,H2CA37023,Calvert,Ken,,,,H,41,CA,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500191392,,,ORG,Technicolor Political,,,,,,PO Box 484,,Belleville,IL,622220484,G2024,,2024-10-17,245000.00,2024-10-17,250000.00,Radio Ad Buy,,,O,H4NC01137,Buckhout,Laurie,,,,H,01,NC,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500193023,,,ORG,Trilogy Interactive LLC,,,,,,PO Box 4177,,Mountain View,CA,940400177,G2024,,2024-10-22,50000.00,2024-10-22,50000.00,Digital Ad Buy,,,O,P80001571,Trump,Donald,J.,,,P,,,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500193493,,,ORG,Pacific Campaign House LLC,,,,,,401 Harrison St,Apt 17G,San Francisco,CA,941052790,G2024,,2024-10-24,199750.00,2024-10-24,250000.00,Digital Ad Buy,,,O,H0MI08141,Junge,Paul,,,,H,08,MI,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500191393,,,ORG,Technicolor Political,,,,,,PO Box 484,,Belleville,IL,622220484,G2024,,2024-10-17,5000.00,2024-10-17,250000.00,Ad Production,,,O,H4NC01137,Buckhout,Laurie,,,,H,01,NC,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500192004,,,ORG,Van Ness Creative Strategies,,,,,,One Huntington Quadrangle,Ste 4S05,Melville,NY,117474435,G2024,,2024-10-21,217000.00,2024-10-21,325000.00,Digital Ad Buy,,,O,S2TX00312,Cruz,Ted,Rafael Edward,,,S,00,TX,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500193494,,,ORG,Pacific Campaign House LLC,,,,,,401 Harrison St,Apt 17G,San Francisco,CA,941052790,G2024,,2024-10-24,50250.00,2024-10-24,250000.00,Ad Production,,,O,H0MI08141,Junge,Paul,,,,H,08,MI,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500191394,,,ORG,Technicolor Political,,,,,,PO Box 484,,Belleville,IL,622220484,G2024,,2024-10-17,233500.00,2024-10-17,250000.00,Digital Ad Buy,,,O,H4PA08124,Bresnahan,Rob,,,,H,08,PA,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500192005,,,ORG,Van Ness Creative Strategies,,,,,,One Huntington Quadrangle,Ste 4S05,Melville,NY,117474435,G2024,,2024-10-21,83000.00,2024-10-21,325000.00,Ad Production,,,O,S2TX00312,Cruz,Ted,Rafael Edward,,,S,00,TX,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500193025,,,ORG,Gambit Strategies LLC,,,,,,2939 Van Ness St NW,,Washington,DC,200084662,G2024,,2024-10-22,9500.00,2024-10-22,2010000.00,Digital Ad Buy,,,O,S2PA00661,McCormick,Dave,,,,S,00,PA,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500191395,,,ORG,Technicolor Political,,,,,,PO Box 484,,Belleville,IL,622220484,G2024,,2024-10-17,16500.00,2024-10-17,250000.00,Ad Production,,,O,H4PA08124,Bresnahan,Rob,,,,H,08,PA,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500193026,,,ORG,Gambit Strategies LLC,,,,,,2939 Van Ness St NW,,Washington,DC,200084662,G2024,,2024-10-22,500.00,2024-10-22,2010000.00,Ad Production,,,O,S2PA00661,McCormick,Dave,,,,S,00,PA,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500193927,,,ORG,MVAR Media LLC,,,,,,1421 Prince St,Ste 320,Alexandria,VA,223142805,G2024,,2024-10-29,74000.00,2024-10-29,99000.00,Digital Ad Buy,,,O,H2PA04135,Perry,Scott,,,,H,10,PA,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500193928,,,ORG,MVAR Media LLC,,,,,,1421 Prince St,Ste 320,Alexandria,VA,223142805,G2024,,2024-10-29,25000.00,2024-10-29,99000.00,Ad Production,,,O,H2PA04135,Perry,Scott,,,,H,10,PA,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500191788,,,ORG,SKDKnickerbocker LLC,,,,,,285 Fulton St,Fl 69,New York,NY,100070166,G2024,,2024-10-18,110000.00,2024-10-18,116000.00,Digital Ad Buy,,,O,H2MI10150,James,John,,,,H,10,MI,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500193929,,,ORG,"The Pivot Group, Inc.",,,,,,712 H St NE,Unit 606,Washington,DC,200023627,G2024,,2024-10-28,25000.00,2024-10-28,325000.00,Print Ad Buy,,,O,S2TX00312,Cruz,Ted,Rafael Edward,,,S,00,TX,Foo,Veronica,,,,2024-12-04,
SE,C00740225,500191789,,,ORG,SKDKnickerbocker LLC,,,,,,285 Fulton St,Fl 69,New York,NY,100070166,G2024,,2024-10-18,6000.00,2024-10-18,116000.00,Ad Production,,,O,H2MI10150,James,John,,,,H,10,MI,Foo,Veronica,,,,2024-12-04,
