form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00678839,500150549,,,ORG,Blue State Digital,,,,,,41 Flatbush Ave,Fl 8,Brooklyn,NY,112171160,O2022,Run-off General,2022-12-03,15000.00,2023-01-13,0.00,Digital Advertising (see 12/4/22 24hr report),,,S,S0GA00559,Warnock,Raphael,,,,S,,GA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150522,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-11-01,6975.00,2023-01-13,0.00,Text Messages-actual cost (Est on 11/2/22 24hr report),,,S,S2WI00441,BARNES,MANDELA,,,,S,00,WI,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150523,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-11-02,5834.71,2023-01-13,0.00,Text Messages-actual cost (Est on 11/3/22 24hr report),,,S,S2NC00497,BEASLEY,CHERI,,,,S,00,NC,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150524,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-11-04,12966.04,2023-01-13,0.00,Text Messages-actual cost (Est on 11/5/22 24hr report),,,S,S2NC00497,BEASLEY,CHERI,,,,S,00,NC,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150525,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-11-07,19449.06,2023-01-13,0.00,Text Messages-actual cost (Est on post-general report),,,S,S2NC00497,BEASLEY,CHERI,,,,S,00,NC,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150526,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-13,1476.90,2023-01-13,0.00,Text Messages-actual cost (Est on 10/21/22 24hr report),,,S,H2PA17079,CARTWRIGHT,MATTHEW,A.,,,H,08,PA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150527,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-03,150.75,2023-01-13,0.00,Text Messages-actual cost (Est on pre-general report),,,S,H2PA10124,DANIELS,SHAMAINE,MS,,,H,10,PA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150528,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-13,1348.69,2023-01-13,0.00,Text Messages-actual cost (Est on 10/21/22 24hr report),,,S,H2PA01099,EHASZ,ASHLEY,,,,H,01,PA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150529,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-19,1388.92,2023-01-13,0.00,Text Messages-actual cost (Est on 10/21/22 24hr report),,,S,,Engel,Kirsten,,,,H,06,AZ,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150530,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-03,150.75,2023-01-13,0.00,Text Messages-actual cost (Est on 10/11/22 48hr report),,,S,S6PA00274,FETTERMAN,JOHN,KARL,,,S,00,PA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150531,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-09,24858.00,2023-01-13,0.00,Text Messages-actual cost (Est on 10/11/22 48hr report),,,S,S6PA00274,FETTERMAN,JOHN,KARL,,,S,00,PA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150532,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-13,2825.59,2023-01-13,0.00,Text Messages-actual cost (Est on 10/21/22 24hr report),,,S,S6PA00274,FETTERMAN,JOHN,KARL,,,S,00,PA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150533,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-11-03,856.00,2023-01-13,0.00,Text Messages-actual cost (Est on post-general report),,,S,,G,Marie,Perez,,,H,03,WA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150534,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-19,1341.20,2023-01-13,0.00,Text Messages-actual cost (Est on 10/21/22 24hr report),,,S,H2AZ06221,HODGE,JEVIN,D,,,H,01,AZ,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150535,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-19,2730.12,2023-01-13,0.00,Text Messages-actual cost (Est on 10/21/22 24hr report),,,S,S0AZ00350,KELLY,MARK,,,,S,00,AZ,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150536,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-24,17338.59,2023-01-13,0.00,Text Messages-actual cost (Est on 10/25/22 24hr report),,,S,S0AZ00350,KELLY,MARK,,,,S,00,AZ,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150537,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-03,1027.70,2023-01-13,0.00,Text Messages-actual cost (Est on 10/21/22 24hr report),,,S,H8NJ03206,Kim,Andy,,,,H,03,NJ,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150538,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-12,2630.20,2023-01-13,0.00,Text Messages-actual cost (Est on 10/21/22 24hr report),,,S,H8CA49058,Levin,Mike,,,,H,49,CA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150539,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-31,1923.70,2023-01-13,0.00,Text Messages-actual cost (Est on 11/1/22 24hr report),,,S,H8NJ07223,Malinowski,Tom,,,,H,07,NJ,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150540,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-20,1616.68,2023-01-13,0.00,Text Messages-actual cost (Est on 10/21/22 24hr report),,,S,H8OR02161,MCLEOD-SKINNER,JAMIE,,,,H,05,OR,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150541,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-11-03,680.00,2023-01-13,0.00,Text Messages-actual cost (Est on post-general report),,,S,H2AK01158,PELTOLA,MARY,,,,H,00,AK,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150542,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-12,2613.24,2023-01-13,0.00,Text Messages-actual cost (Est on 10/21/22 24hr report),,,S,H8CA45130,Porter,Katie,,,,H,47,CA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150543,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-31,1927.30,2023-01-13,0.00,Text Messages-actual cost (Est on 11/1/22 24hr report),,,S,H8NY22177,RILEY,JOSH,,,,H,19,NY,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150544,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-12,3091.77,2023-01-13,0.00,Text Messages-actual cost (Est on 10/21/22 24hr report),,,S,H2CA42205,ROLLINS,WILL,,,,H,41,CA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150545,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-11-04,1292.44,2023-01-13,0.00,Text Messages-actual cost (Est on 11/5/22 24hr report),,,S,H8WA08189,SCHRIER,KIM DR.,,,,H,08,WA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150546,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-23,6899.94,2023-01-13,0.00,Text Messages-actual cost (Est on 10/24/22 24hr report),,,S,S0GA00559,Warnock,Raphael,,,,S,,GA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150547,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,G2022,,2022-10-30,21602.38,2023-01-13,0.00,Text Messages-actual cost (Est on 10/31/22 24hr report),,,S,S0GA00559,Warnock,Raphael,,,,S,,GA,Ramey,Elizabeth,,,,2023-02-18,
SE,C00678839,500150548,,,ORG,Civitech,,,,,,300 W 23rd St,Apt 10N,New York,NY,100112244,O2022,Run-off General,2022-11-29,31864.52,2023-01-13,0.00,Text Messages-actual cost (Est on 11/30/22 24hr report),,,S,S0GA00559,Warnock,Raphael,,,,S,,GA,Ramey,Elizabeth,,,,2023-02-18,
