form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00582841,SB21B.6481,,,ORG,ABC Kitchen,,,,,,35 E 18th St,,New York,NY,10003,,,2023-04-26,495.93,,Meeting meal,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6451,,,ORG,ActBlue,,,,,,PO Box 441146,,Somerville,MA,02144,,,2023-01-23,1307.45,,Service fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6452,,,ORG,ActBlue,,,,,,PO Box 441146,,Somerville,MA,02144,,,2023-01-23,237.00,,Service fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6453,,,ORG,ActBlue,,,,,,PO Box 441146,,Somerville,MA,02144,,,2023-01-30,434.50,,Service fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6456,,,ORG,ActBlue,,,,,,PO Box 441146,,Somerville,MA,02144,,,2023-02-09,296.25,,Service fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6475,,,ORG,Bin 14,,,,,,1314 Washington St,,Hoboken,NJ,07030,,,2023-04-19,133.81,,Lunch meeting,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6455,,,ORG,Blank Rome LLP,,,,,,1825 Eye Street NW,,Washington,DC,20006,,,2023-02-06,396.00,,Legal fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6460,,,ORG,Blank Rome LLP,,,,,,1825 Eye Street NW,,Washington,DC,20006,,,2023-02-23,575.00,,Legal fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6466,,,ORG,Blank Rome LLP,,,,,,1825 Eye Street NW,,Washington,DC,20006,,,2023-04-10,493.50,,Legal fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6490,,,ORG,Blank Rome LLP,,,,,,1825 Eye Street NW,,Washington,DC,20006,,,2023-05-31,2303.00,,Legal fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6482,,,ORG,Borgata,,,,,,1 Borgata Way,,Atlantic City,NJ,08401,,,2023-05-01,94.00,,Meeting space,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6487,,,ORG,Chandelier Catering,,,,,,1081 Broadway,,Bayonne,NJ,07002,,,2023-05-16,947.79,,Catering for fundraiser,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6472,,,ORG,Evernest Financial Advisors,,,,,,250 W 96TH ST STE 300,,INDIANAPOLIS,IN,462601329,,,2023-04-14,4137.70,,Investment Advisor,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6458,,,ORG,Royal Printing Service,,,,,,435 51st St,,West New York,NJ,07093,,,2023-02-16,1103.57,,Mailers for Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6480,,,ORG,Royal Printing Service,,,,,,435 51st St,,West New York,NJ,07093,,,2023-02-25,762.37,,Mailers for Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6478,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-04-25,23.96,,Meeting Transportation,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6479,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-04-25,12.98,,Meeting Transportation,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6484,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-05-02,60.87,,Meeting Transportation,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6485,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-05-03,42.20,,Meeting Transportation,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6469,,,ORG,United States Postal Service,,,,,,770 River Road,,Edgewater,NJ,07020,,,2023-04-11,630.00,,Stamps,001,,,,,,,,,,,,,,,,,,,
