form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00831222,2000,,,ORG,ELAN FINANCIAL SERVICES,,,,,,PO BOX 6357,,FARGO,ND,58125,,,2023-07-05,787.00,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,2037,2000,SB21B,ORG,TATANGO,,,,,,"600 STEWART ST, STE 400",,SEATTLE,WA,98101,,,2023-07-05,787.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00831222,2012,,,ORG,WINRED TECHNICAL SERVICES,,,,,,"1776 WILSON BLVD, STE 530",,ARLINGTON,VA,22209,,,2023-07-10,471.04,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,2027,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-07-14,17642.69,,DIGITAL FUNDRAISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,2028,,,ORG,TARGETED VICTORY LLC,,,,,,"2311 WILSON BLVD, STE 200",,ARLINGTON,VA,22201,,,2023-07-20,38907.43,,DIGITAL FUNDRAISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,2029,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-07-21,1500.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,2030,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2023-07-21,1010.22,,DIGITAL FUNDRAISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,2013,,,ORG,WINRED TECHNICAL SERVICES,,,,,,"1776 WILSON BLVD, STE 530",,ARLINGTON,VA,22209,,,2023-07-24,588.62,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,2001,,,ORG,ELAN FINANCIAL SERVICES,,,,,,PO BOX 6357,,FARGO,ND,58125,,,2023-07-26,91.00,,CREDIT CARD PAYMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,2038,2001,SB21B,ORG,TATANGO,,,,,,"600 STEWART ST, STE 400",,SEATTLE,WA,98101,,,2023-07-26,91.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00831222,2014,,,ORG,WINRED TECHNICAL SERVICES,,,,,,"1776 WILSON BLVD, STE 530",,ARLINGTON,VA,22209,,,2023-07-31,265.44,,CREDIT CARD PROCESSING FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831222,2023,,,ORG,"YADON-SMITH CONSULTING, LLC",,,,,,"1215 FIRST ST SE, APT 11I",,WASHINGTON,DC,20002,,,2023-07-31,3500.00,,DIGITAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
