form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00869024,HV1071,,,ORG,ANEDOT,,,,,,1201 W PEACHTREE ST NW,,ATLANTA,GA,30308,,,2024-09-30,76943.65,,CREDIT CARD PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1001,,,ORG,ARTEMIS STRATEGIES,,,,,,2201 N ST NW,,WASHINGTON,DC,20037,,,2024-07-17,660.00,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1002,,,ORG,AXCAPITAL,,,,,,555 METRO PLACE N,,DUBLIN,OH,43017,,,2024-07-31,1750.00,,ACCOUNTING & COMPLIANCE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1003,,,ORG,AXCAPITAL,,,,,,555 METRO PLACE N,,DUBLIN,OH,43017,,,2024-07-31,750.00,,ACCOUNTING & COMPLIANCE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1004,,,ORG,AXCAPITAL,,,,,,555 METRO PLACE N,,DUBLIN,OH,43017,,,2024-07-31,750.00,,ACCOUNTING & COMPLIANCE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1005,,,ORG,AXCAPITAL,,,,,,555 METRO PLACE N,,DUBLIN,OH,43017,,,2024-07-31,750.00,,ACCOUNTING & COMPLIANCE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1006,,,ORG,AXCAPITAL,,,,,,555 METRO PLACE N,,DUBLIN,OH,43017,,,2024-09-19,750.00,,ACCOUNTING & COMPLIANCE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1007,,,ORG,AXCAPITAL,,,,,,555 METRO PLACE N,,DUBLIN,OH,43017,,,2024-09-19,750.00,,ACCOUNTING & COMPLIANCE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1011,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-01,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1012,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-02,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1013,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-03,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1014,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-31,21.20,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1015,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-08-05,12.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1016,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-09-16,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1017,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-09-26,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1018,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-09-27,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1019,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-09-30,14.40,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1020,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-09-30,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1021,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,VIENNA,VA,22182,,,2024-07-10,272.35,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1022,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,VIENNA,VA,22182,,,2024-07-16,500.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1023,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,VIENNA,VA,22182,,,2024-08-09,406.80,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1024,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,VIENNA,VA,22182,,,2024-09-12,340.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1025,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,VIENNA,VA,22182,,,2024-09-17,500.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1026,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,VIENNA,VA,22182,,,2024-08-15,500.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1027,,,ORG,CONRADS RUTH VILLA,,,,,,3301 EDWARDS LN,,BALTIMORE,MD,21220,,,2024-09-20,9839.09,,ROOM FOOD & BEV,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1028,,,ORG,Evergreen Endeavors LLC,,,,,,16350 E ARAPHOE RD,,FOXFIELD,CO,80016,,,2024-08-13,795.00,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1029,,,ORG,FULL HOUSE EVENTS,,,,,,PO BOX 409,,OLDWICK,NJ,08858,,,2024-07-18,330.00,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1030,,,ORG,HighStarr Copy & Printing Services,,,,,,2661 MRIVA RD,,ANNAPOLIS,MD,21401,,,2024-09-12,24458.48,,PRINT EXPENSE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1031,,,ORG,HighStarr Copy & Printing Services,,,,,,2661 MRIVA RD,,ANNAPOLIS,MD,21401,,,2024-09-20,7864.19,,PRINT EXPENSE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1032,,,ORG,HighStarr Copy & Printing Services,,,,,,2661 MRIVA RD,,ANNAPOLIS,MD,21401,,,2024-09-20,7893.03,,PRINT EXPENSE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1033,,,ORG,HighStarr Copy & Printing Services,,,,,,2661 MRIVA RD,,ANNAPOLIS,MD,21401,,,2024-09-27,1066.75,,PRINT EXPENSE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1037,,,ORG,M2 PLACEMENT,,,,,,10065 E HARVARD AVE,,DENVER,CO,80231,,,2024-09-26,272399.98,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1038,,,ORG,M2 PLACEMENT,,,,,,10065 E HARVARD AVE,,DENVER,CO,80231,,,2024-09-27,635599.94,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1039,,,ORG,M2 PLACEMENT,,,,,,10065 E HARVARD AVE,,DENVER,CO,80231,,,2024-09-30,165500.00,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1052,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE ST,,ANNAPOLIS,MD,21401,,,2024-07-17,63746.20,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1053,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE ST,,ANNAPOLIS,MD,21401,,,2024-08-08,38133.70,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1054,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE ST,,ANNAPOLIS,MD,21401,,,2024-09-16,51338.25,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1055,,,ORG,SCR ASSOCIATES,,,,,,100 TRADECENTER ,,WOBURN,MA,01801,,,2024-08-06,880.00,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1056,,,ORG,SCR ASSOCIATES,,,,,,100 TRADECENTER ,,WOBURN,MA,01801,,,2024-08-14,3000.00,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1057,,,ORG,Silver Spring Mining Co.,,,,,,8634 BELAIR RD,,BALTIMORE,MD,21236,,,2024-09-19,14000.00,,CATERING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1058,,,ORG,Silver Spring Mining Co.,,,,,,8634 BELAIR RD,,BALTIMORE,MD,21236,,,2024-09-30,1531.00,,CATERING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1059,,,ORG,SOCKO STRATEGIES,,,,,,,,,,,,,2024-07-29,14516.93,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1060,,,ORG,SOCKO STRATEGIES,,,,,,,,,,,,,2024-08-14,21418.71,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1061,,,ORG,SOCKO STRATEGIES,,,,,,,,,,,,,2024-09-23,12498.66,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1062,,,ORG,THE MAIANNE SAHL COMPANY,,,,,,,,,,,,,2024-07-26,1330.00,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1063,,,ORG,TIBER CREEK GROUP,,,,,,750 9TH ST NW,,WASHINGTON,DC,20001,,,2024-07-16,312.00,,ROOM FOOD & BEV,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1065,,,ORG,WHEELERHOUSE LLC,,,,,,1851 3RD ST NW,,WASHINGTON,DC,20001,,,2024-07-17,63746.20,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1066,,,ORG,WHEELERHOUSE LLC,,,,,,1851 3RD ST NW,,WASHINGTON,DC,20001,,,2024-08-06,38133.70,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1067,,,ORG,WHEELERHOUSE LLC,,,,,,1851 3RD ST NW,,WASHINGTON,DC,20001,,,2024-09-06,51338.25,,FUNDRAISING COMMISSION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1068,,,ORG,WHEELERHOUSE LLC,,,,,,1851 3RD ST NW,,WASHINGTON,DC,20001,,,2024-07-17,6577.42,,REIMBURSEMENT FOR TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1069,,,ORG,WHEELERHOUSE LLC,,,,,,1851 3RD ST NW,,WASHINGTON,DC,20001,,,2024-08-06,20461.66,,REIMBURSEMENT FOR TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,HV1070,,,ORG,WHEELERHOUSE LLC,,,,,,1851 3RD ST NW,,WASHINGTON,DC,20001,,,2024-09-06,5044.60,,REIMBURSEMENT FOR TRAVEL,,,,,,,,,,,,,  ,,,,,,,
