form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00835967,B-283,,,ORG,319 STRATEGIES LLC,,,,,,203 WEST STREET,,ALEXANDRIA,VA,22314,,,2024-06-01,12000.00,,COMMUNICATIONS CONSULTING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-284,,,ORG,319 STRATEGIES LLC,,,,,,203 WEST STREET,,ALEXANDRIA,VA,22314,,,2024-06-04,4000.00,,COMMUNICATIONS CONSULTING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-285,,,ORG,HONOLD COMMUNICATIONS INC.,,,,,,32 WEST LAKE STREET,,SKANEATELES,NY,13152,,,2024-06-04,5000.00,,STRATEGY CONSULTING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-362,,,ORG,INTEGRATED SOLUTIONS: POLITICAL,,,,,,4142 ADAMS AVENUE,SUITE 103-550,SAN DIEGO,CA,92116,,,2024-06-04,2000.00,,SOFTWARE & SUPPORT,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-292,,,ORG,1735 GROUP LLC,,,,,,1947 BILTMORE STREET NORTHWEST,,WASHINGTON,DC,20009,,,2024-06-05,47500.00,,FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-310,,,ORG,MBA DATA LLC,,,,,,PO BOX 2583,,ALEXANDRIA,VA,22301,,,2024-06-07,5553.00,,DATA SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-366,,,ORG,ASHBY LAW PC,,,,,,625 NORTH WASHINGTON STREET,,ALEXANDRIA,VA,22314,,,2024-06-18,5568.75,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-406,,,ORG,INTUIT,,,,,,27 COAST AVENUE,,SAN MARCOS,CA,92078,,,2024-06-20,45.00,,SOFTWARE,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-369,,,ORG,MBA DATA LLC,,,,,,PO BOX 2583,,ALEXANDRIA,VA,22301,,,2024-06-22,1679.40,,DATA SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-382,,,ORG,CT CORPORATION,,,,,,625 NORTH WASHINGTON STREET,,ALEXANDRIA,VA,22314,,,2024-06-28,393.00,,FILING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-394,,,ORG,COALITION FOR AMERICAN EXCELLENCE,,,,,,1934 OLD GALLOWS ROAD,,VIENNA,VA,22182,,,2024-06-30,7024.92,,IN KIND: STRATEGY CONSULTING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-395,,,ORG,COALITION FOR AMERICAN EXCELLENCE,,,,,,1934 OLD GALLOWS ROAD,,VIENNA,VA,22182,,,2024-06-30,20000.00,,IN KIND: RESEARCH SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-282,,,ORG,NEBO MEDIA,,,,,,PO BOX 9825,,ARLINGTON,VA,22219,,,2024-05-31,-152484.00,152484.00,MEDIA PRODUCTION & ADVERTISEMENT,,,DAVE WILLIAMS FOR COLORADO,H2CO05216,WILLIAMS,DAVID,,,,H,CO,05,,,,,,,,
