form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00783167,SB21B.I2543,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD., STE. 400",,TYSONS CORNER,VA,22182,,,2023-01-04,250.00,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00783167,SB21B.I2544,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD., STE. 400",,TYSONS CORNER,VA,22182,,,2023-02-03,250.00,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00783167,SB21B.I2549,,,ORG,CROWNED EAGLE CONSULTING GROUP LLC,,,,,,"1305 W 11TH ST., #213",,HOUSTON,TX,77008,,,2023-02-05,17547.77,,CATERING/TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00783167,SB21B.I2550,,,ORG,CROWNED EAGLE CONSULTING GROUP LLC,,,,,,"1305 W 11TH ST., #213",,HOUSTON,TX,77008,,,2023-02-10,18551.91,,CATERING/TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00783167,SB21B.I2553,,,IND,,VANCE,JD,,,,P.O. BOX 6564,,CINCINNATI,OH,45206,,,2023-02-22,1465.96,,SEE MEMOS,,,,S2OH00436,VANCE,J,D,,,S,OH,,  ,,,,,,,
SB21B,C00783167,SB21B.I2554,SB21B.I2553,SB21B,ORG,CHARLIE PALMER STEAK,,,,,,101 CONSTITUTION AVE NW,,WASHINGTON,DC,20001,,,2023-02-22,502.50,,CATERING,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00783167,SB21B.I2556,SB21B.I2553,SB21B,ORG,ENTERPRISE RENT A CAR,,,,,,2530 READING RD.,,CINCINNATI,OH,45202,,,2023-02-22,494.63,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00783167,SB21B.I2555,SB21B.I2553,SB21B,ORG,METROPOLITAN AT THE 9,,,,,,2018 EAST 9TH ST,,CLEVELAND,OH,44115,,,2023-02-22,468.83,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00783167,SB21B.I2545,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD., STE. 400",,TYSONS CORNER,VA,22182,,,2023-03-03,250.00,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00783167,SB21B.I2546,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD., STE. 400",,TYSONS CORNER,VA,22182,,,2023-04-04,250.00,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00783167,SB21B.I2551,,,ORG,CROWNED EAGLE CONSULTING GROUP LLC,,,,,,"1305 W 11TH ST., #213",,HOUSTON,TX,77008,,,2023-04-06,1598.50,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00783167,SB21B.I2552,,,ORG,HUCKABY DAVIS LISKER INC.,,,,,,"228 S. WASHINGTON ST., STE. 115",,ALEXANDRIA,VA,22314,,,2023-04-28,4198.39,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00783167,SB21B.I2547,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD., STE. 400",,TYSONS CORNER,VA,22182,,,2023-05-03,250.00,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00783167,SB21B.I2548,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD., STE. 400",,TYSONS CORNER,VA,22182,,,2023-06-05,250.00,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
