form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00821231,SB21B.33531,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENINGBROUGH PL,,LEESBURG,VA,20176,,,2024-10-28,35.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33509,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-10-17,104.59,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33516,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-10-21,3.75,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33519,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-10-21,19.75,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33522,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-10-22,3.75,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33524,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-10-23,18.75,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33530,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-10-28,7.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33544,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-11-14,7.11,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33549,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-11-15,9.73,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33553,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-11-18,9.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33558,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-11-20,27.25,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33563,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-11-21,3.75,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33565,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-11-22,15.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33510,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 NORTH SAINT ASAPH STREET,,ALEXANDRIA,VA,22314,,,2024-10-17,420.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33545,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 NORTH SAINT ASAPH STREET,,ALEXANDRIA,VA,22314,,,2024-11-14,20.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33508,,,ORG,RIGHT RAIL LIST CO,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-10-17,25.63,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33543,,,ORG,RIGHT RAIL LIST CO,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-11-14,21.36,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33548,,,ORG,RIGHT RAIL LIST CO,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-11-15,4.27,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33514,,,ORG,"TMA DIRECT, INC.",,,,,,1900 RESTON METRO PLAZA,SUITE 600,RESTON,VA,20190,,,2024-10-17,56.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33520,,,ORG,"TMA DIRECT, INC.",,,,,,1900 RESTON METRO PLAZA,SUITE 600,RESTON,VA,20190,,,2024-10-21,20.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33551,,,ORG,"TMA DIRECT, INC.",,,,,,1900 RESTON METRO PLAZA,SUITE 600,RESTON,VA,20190,,,2024-11-15,24.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33555,,,ORG,"TMA DIRECT, INC.",,,,,,1900 RESTON METRO PLAZA,SUITE 600,RESTON,VA,20190,,,2024-11-18,32.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33560,,,ORG,"TMA DIRECT, INC.",,,,,,1900 RESTON METRO PLAZA,SUITE 600,RESTON,VA,20190,,,2024-11-20,20.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33507,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-17,31.24,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33515,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-21,0.99,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33518,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-21,5.68,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33521,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-22,1.14,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33523,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-23,15.16,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33527,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-24,0.06,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33528,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-28,0.11,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33529,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-28,1.99,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33532,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-30,0.01,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33533,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-30,0.38,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33534,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-01,0.04,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33536,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-01,0.01,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33537,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-06,0.20,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.33538,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-07,0.02,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
