form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00813170,SB21B.4322,,,ORG,Alaska Airlines,,,,,,17801 International Blvd,,Seattle,WA,98158,,,2024-01-15,520.82,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4318,,,ORG,Delta,,,,,,1030 Delta Blvd.,,Atlanta,GA,30320,,,2024-01-08,348.61,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4344,,,ORG,Delta,,,,,,1030 Delta Blvd.,,Atlanta,GA,30320,,,2024-03-15,319.10,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4345,,,ORG,Delta,,,,,,1030 Delta Blvd.,,Atlanta,GA,30320,,,2024-03-15,319.10,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4353,,,ORG,Delta,,,,,,1030 Delta Blvd.,,Atlanta,GA,30320,,,2024-03-27,387.50,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4346,,,ORG,Garden District,,,,,,1801 14th St NW,,Washington,DC,20009,,,2024-03-15,95.95,,Credit Card Memo Entry - Event catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4350,,,ORG,Garden District,,,,,,1801 14th St NW,,Washington,DC,20009,,,2024-03-17,221.10,,Credit Card Memo Entry - Event catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4265,,,ORG,Hotwire.com,,,,,,655 Montgomery Street,,San Francisco,CA,94111,,,2024-03-08,512.25,,Travel,002,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4320,,,ORG,Lyft,,,,,,185 Berry Street,#5000,San Francisco,CA,94107,,,2024-01-08,90.70,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4337,,,ORG,Lyft,,,,,,185 Berry Street,#5000,San Francisco,CA,94107,,,2024-03-11,39.42,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4319,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-01-08,13.92,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4321,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-01-10,47.98,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4324,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-02-02,62.93,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4356,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-03-29,33.15,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4357,,,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-03-29,33.94,,Credit Card Memo Entry - Car service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4316,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,60601,,,2024-01-05,339.01,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4323,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,60601,,,2024-01-30,539.10,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
