form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00077321,49353119,,,PAC,Common Values PAC,,,,,,1020 N Fairfax St,Suite 201,Alexandria,VA,22314,,,2023-11-06,5000.00,0.00,,011,C00442368,,,,,,,,,,,,,,,,,,
SB23,C00077321,49353120,,,PAC,Heartland Values PAC,,,,,,PO Box 505,,Sioux Falls,SD,57101,,,2023-11-06,5000.00,0.00,,011,C00409003,,,,,,,,,,,,,,,,,,
SB23,C00077321,49353121,,,PAC,Defend Our Conservative Senate PAC (Doc's PAC),,,,,,PO BOX 26141,,Alexandria,VA,22313,,,2023-11-06,5000.00,0.00,,011,C00632323,,,,,,,,,,,,,,,,,,
SB23,C00077321,49353124,,,PAC,Alabama FirstPAC,,,,,,"1101 30th St., NW",Suite 125,Washington,DC,20007,,,2023-11-06,5000.00,0.00,,011,C00821058,,,,,,,,,,,,,,,,,,
SB23,C00077321,49353125,,,CCM,Suozzi for Congress,,,,,,3 School Street,Suite 305,Glen Cove,NY,11542,P2024,,2023-11-06,5000.00,0.00,,011,C00607200,Suozzi for Congress,H6NY03247,Suozzi,Thomas,,,,H,NY,03,,,,,,,,
SB23,C00077321,49353127,,,PAC,Keep America Rolling PAC,,,,,,PO Box 185,,Harrisburg,PA,17101,,,2023-11-06,5000.00,0.00,,011,C00524603,,,,,,,,,,,,,,,,,,
SB23,C00077321,49353146,,,PAC,Arkansas for Leadership PAC (ARKPAC),,,,,,PO Box 1672,,Alexandria,VA,22313,,,2023-11-06,2500.00,0.00,,011,C00413948,,,,,,,,,,,,,,,,,,
SB23,C00077321,49355886,,,CCM,Friends Of Lucy McBath,,,,,,375 Rockbridge Rd Nw,Suite 172-255,Lilburn,GA,30047,P2024,,2023-11-06,2000.00,0.00,,011,C00672295,Friends Of Lucy McBath,H8GA06393,McBath,Lucy,,Rep.,,H,GA,07,,,,,,,,
SB23,C00077321,49355887,,,PAC,Restoring our Nation PAC,,,,,,220 W Windsor Ave,,Alexandria,VA,22301,,,2023-11-06,5000.00,0.00,,011,C00649525,,,,,,,,,,,,,,,,,,
SB23,C00077321,49355907,,,PAC,Support Taxfighters & Elect Effective Leaders PAC STEEL PAC,,,,,,220 W Windsor Ave,,Alexandria,VA,22301,,,2023-11-06,5000.00,0.00,,011,C00744532,,,,,,,,,,,,,,,,,,
SB23,C00077321,49355908,,,CCM,Elise For Congress,,,,,,PO Box 338,,Willsboro,NY,12996,P2024,,2023-11-06,5000.00,0.00,,011,C00547893,Elise For Congress,H4NY21079,Stefanik,Elise,,,,H,NY,21,,,,,,,,
SB23,C00077321,49355909,,,CCM,Darrell Issa For Congress,,,,,,Post Office Box 760,,Vista,CA,92085,P2024,,2023-11-06,2500.00,0.00,,011,,,,Issa,Darrell,,,,H,CA,48,,,,,,,,
SB23,C00077321,49355910,,,CCM,Don Bacon For Congress,,,,,,P.O. Box 391368,,Omaha,NE,68139,P2024,,2023-11-06,2500.00,0.00,,011,C00575167,Don Bacon For Congress,H6NE02125,Bacon,Donald,,Rep.,,H,NE,02,,,,,,,,
SB23,C00077321,49355911,,,CCM,Valadao For Congress,,,,,,5132 North Palm Avenue,#227,Fresno,CA,93704,P2024,,2023-11-06,2500.00,0.00,,011,C00499392,Valadao For Congress,H2CA20094,Valadao,David,,Rep.,,H,CA,21,,,,,,,,
SB23,C00077321,49355948,,,PAC,Together Holding Our Majority PAC (THOM PAC),,,,,,PO BOX 97275,,Raleigh,NC,27624,,,2023-11-06,5000.00,0.00,,011,C00571323,,,,,,,,,,,,,,,,,,
SB23,C00077321,49356286,,,CCM,Guy For Congress,,,,,,P.O. Box 23177,,Pittsburgh,PA,15222,P2024,,2023-11-07,2500.00,0.00,,011,C00657833,Guy For Congress,H8PA18199,Reschenthaler,Guy,,Rep.,,H,PA,14,,,,,,,,
SB23,C00077321,49356287,,,CCM,Jimmy Panetta For Congress,,,,,,PO Box 1579,,Carmel Valley,CA,93924,P2024,,2023-11-07,5000.00,0.00,,011,C00592154,Jimmy Panetta For Congress,H6CA20152,Panetta,Jimmy,,,,H,CA,20,,,,,,,,
SB23,C00077321,49356290,,,CCM,Schneider For Congress,,,,,,PO Box 1318,,Deerfield,IL,60015,G2024,,2023-11-07,5000.00,0.00,,011,C00495952,Schneider For Congress,H2IL10068,Schneider,Brad,,Rep.,,H,IL,10,,,,,,,,
SB23,C00077321,49356292,,,CCM,Moulton For Congress,,,,,,PO Box 2013,,Salem,MA,01970,P2024,,2023-11-07,5000.00,0.00,,011,C00547240,Moulton For Congress,H4MA06090,Moulton,Seth,,Rep.,,H,MA,06,,,,,,,,
