form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00770941,SB21B.1024757,,,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,,2024-10-14,85.37,,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED
SB21B,C00770941,SB21B.1024757.2,SB21B.1024757,SB21B,ORG,UPS,,,,,,55 GLENLAKE PARKWAY NE,,ATLANTA,GA,30328,,,2024-09-01,20.49,,DELIVERY SERVICES,,,,,,,,,,,,,,,,,,,X
SB21B,C00770941,SB21B.1024757.3,SB21B.1024757,SB21B,ORG,UPS,,,,,,55 GLENLAKE PARKWAY NE,,ATLANTA,GA,30328,,,2024-09-07,64.88,,DELIVERY SERVICES,,,,,,,,,,,,,,,,,,,X
SB21B,C00770941,SB21B.1028501,,,ORG,A-TEAM DIGITAL LLC,,,,,,PO BOX 524,,ALEXANDRIA,VA,22313,,,2024-10-09,31.80,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1025468,,,ORG,AUTHORIZE.NET,,,,,,P.O. BOX 8999,,SAN FRANCISCO,CA,94128,,,2024-10-02,35.65,,MERCHANT FEES
SB21B,C00770941,SB21B.1028500,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,SUITE 201 PMB 9927,ST. THOMAS,VI,00802,,,2024-10-09,34.25,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1024928,,,ORG,CAMPAIGN NUCLEUS LLC,,,,,,3593 MEDINA RD #110,,MEDINA,OH,44256,,,2024-10-09,5000.00,,FUNDRAISING SOFTWARE
SB21B,C00770941,SB21B.1025529,,,ORG,"CONDUIT STREET SERVICES, LLC",,,,,,312 LYNWOOD DRIVE,,SEVERNA PARK,MD,21146,,,2024-10-02,0.70,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1026179,,,ORG,"CONDUIT STREET SERVICES, LLC",,,,,,312 LYNWOOD DRIVE,,SEVERNA PARK,MD,21146,,,2024-10-03,35.70,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1027319,,,ORG,"CONDUIT STREET SERVICES, LLC",,,,,,312 LYNWOOD DRIVE,,SEVERNA PARK,MD,21146,,,2024-10-07,0.70,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1028503,,,ORG,CONSERVATIVE OUTREACH GROUP LLC,,,,,,FIVE COWBOYS WAY,SUITE 300,FRISCO,TX,75034,,,2024-10-09,15.80,,FUNDRAISING FEES
SB21B,C00770941,SB21B.1027455,,,ORG,"ELECTIONS, LLC",,,,,,1050 CONNECTICUT AVE NW,SUITE 500,WASHINGTON,DC,20036,,,2024-10-09,10000.00,,LEGAL CONSULTING
