form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00296640,SB21B.I28895,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,70112,,,2023-07-05,200.30,,PAC CREDIT CARD PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I25831,,,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-07-13,6249.21,,CREDIT CARD PAYMENT: SEE MEMOS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I25833,SB21B.I25831,SB21B,ORG,GIANT,,,,,,1454 CHAIN BRIDGE RD,,MCLEAN,VA,22101,,,2023-07-13,340.95,,PAC OFFICE SUPPLIES/FOOD & BEVERAGE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I25834,SB21B.I25831,SB21B,ORG,THE GREENBRIER,,,,,,101 MAIN STREET W,,WHITE SULPHER,WV,24986,,,2023-07-13,5717.61,,PAC LODGING,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I25980,,,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-07-13,6809.27,,CREDIT CARD PAYMENT: SEE MEMOS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00296640,SB21B.I25981,SB21B.I25980,SB21B,ORG,ALAMO RENT A CAR,,,,,,2401 SMITH BOULEVARD,,ARLINGTON,VA,22202,,,2023-07-13,1116.52,,PAC TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I25982,SB21B.I25980,SB21B,ORG,ALAMO RENT A CAR,,,,,,2401 SMITH BOULEVARD,,ARLINGTON,VA,22202,,,2023-07-13,-1066.52,,PAC TRAVEL CREDIT,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I25983,SB21B.I25980,SB21B,ORG,OUTDOORSY,,,,,,1300 GUADALUPE ST.,SUITE 100,AUSTIN,TX,78701,,,2023-07-13,4939.99,,PAC RV RENTAL/TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I25984,SB21B.I25980,SB21B,ORG,RESIDENCE INN BY MARRIOTT,,,,,,1801 HAYES ST,,NASHVILLE,TN,37203,,,2023-07-13,399.00,,PAC LODGING,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I25985,SB21B.I25980,SB21B,ORG,SOUTHWEST AIRLINES,,,,,,P.O. BOX 36611,,DALLAS,TX,75235,,,2023-07-13,364.98,,PAC TRAVEL,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00296640,SB21B.I25986,SB21B.I25980,SB21B,ORG,THE GREENBRIER,,,,,,101 MAIN STREET W,,WHITE SULPHER,WV,24986,,,2023-07-13,1045.42,,PAC ROOM RENTAL,,,,,,,,,,,,,  ,,,,,,X,
