form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00842575,21b-13-00269-00451,,,ORG,"Pama Productions, Inc.",,,,,,223 Clove Valley Road,,High Falls,NY,12440,,,2024-10-18,5000.00,,Video Production,,,,,,,,,,,,,,,,,,,,
SB21B,C00842575,21b-13-00271-00453,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-10-20,41.47,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00842575,21b-13-00278-00470,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-10-27,28.95,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00842575,21b-13-00274-00458,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-10-31,21.28,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00842575,21b-13-00275-00461,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-11-03,8.57,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00842575,21b-13-00277-00467,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-11-05,4.77,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00842575,21b-13-00276-00464,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-11-10,12.81,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00842575,21b-13-00279-00473,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-11-17,12.27,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00842575,21b-13-00283-00483,,,ORG,Run!,,,,,,47 Bergen Street,,Brooklyn,NY,11201,,,2024-11-18,50.00,,Website,,,,,,,,,,,,,,,,,,,,
SB21B,C00842575,21b-13-00281-00477,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-11-24,40.13,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00842575,21b-13-00282-00480,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-11-25,1.39,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
