form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00741041,SB21B.6984,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-04-21,17.80,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.6985,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-04-28,1.43,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.6986,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-04-30,0.28,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.6987,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-05-12,197.50,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.6988,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-05-19,54.29,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.6989,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-05-26,132.46,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.6990,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-05-31,9.66,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.6991,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-06-02,5.06,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.6957,,,ORG,IfNotNow Movement,,,,,,PO Box 170285,,Brooklyn,NY,11217,,,2024-04-05,1920.74,,Staff Time,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.6964,,,ORG,IfNotNow Movement,,,,,,PO Box 170285,,Brooklyn,NY,11217,P2024,,2024-04-05,825.72,,In-Kind: Staff Time,,,,H2PA18200,Lee,Summer,,,,H,PA,12,,,,,,,X,
SB21B,C00741041,SB21B.6974,,,ORG,IfNotNow Movement,,,,,,PO Box 170285,,Brooklyn,NY,11217,P2024,,2024-04-05,457.38,,In-Kind: Staff Time,,,,H0NY16143,Bowman,Jamaal,,,,H,NY,16,,,,,,,X,
SB21B,C00741041,SB21B.6980,,,ORG,IfNotNow Movement,,,,,,PO Box 170285,,Brooklyn,NY,11217,P2024,,2024-04-05,20.19,,In-Kind: Staff Time,,,,H8MO01143,Bush,Cori,,,,H,MO,01,,,,,,,X,
