form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00758433,SB21B.4972,,,ORG,Anedot Inc.,,,,,,1340 Poydras St,Ste 1770,New Orleans,LA,70112,O2023,Other,2023-06-29,200.30,,Merchant Account Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.4904,,,ORG,Cardmember Service,,,,,,PO Box 1423,,Charlotte,NC,28201,O2023,Other,2023-03-14,7393.00,,Creidt Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.4904.0,SB21B.4904,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2023,Other,2022-12-31,1513.58,,Food/Beverage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4904.1,SB21B.4904,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2023,Other,2023-01-31,366.15,,Food/Beverage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4904.2,SB21B.4904,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2023,Other,2023-02-28,437.75,,Food/Beveage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4904.3,SB21B.4904,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2023,Other,2022-11-30,323.60,,Food/Beverage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4904.4,SB21B.4904,SB21B,ORG,American Airlines,,,,,,PO Box 619616,,DFW Airport,TX,75261,O2023,Other,2023-01-20,4064.45,,Airfare,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4904.5,SB21B.4904,SB21B,ORG,American Airlines,,,,,,PO Box 619616,,DFW Airport,TX,75261,O2023,Other,2023-01-30,687.47,,Airfare,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4919,,,ORG,Cardmember Service,,,,,,PO Box 1423,,Charlotte,NC,28201,O2023,Other,2023-04-17,835.17,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.4919.1,SB21B.4919,SB21B,ORG,We the Pizza,,,,,,305 Pennsylvania Ave SE,,Washington,DC,20003,O2023,Other,2023-03-29,293.69,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4919.2,SB21B.4919,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Drive,,Dallas,TX,75235,O2023,Other,2023-03-16,148.98,,Airfare,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4950,,,ORG,Cardmember Service,,,,,,PO Box 1423,,Charlotte,NC,28201,O2023,Other,2023-06-20,3754.20,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.4950.0,SB21B.4950,SB21B,ORG,Sodexo,,,,,,US House of Representatives,,Washington,DC,20515,O2023,Other,2023-06-06,257.50,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4950.2,SB21B.4950,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2023,Other,2023-03-31,219.55,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.4950.3,SB21B.4950,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2023,Other,2023-03-31,294.91,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
