form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00868976,500532557,,,ORG,3DNA Corp Dba Nationbuilder,,,,,,PO Box 811428,,Los Angeles,CA,900810008,,,2024-11-05,3000.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532558,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-20,3029.87,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532559,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-27,6406.29,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532560,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-31,5994.62,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532561,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-03,3667.96,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532562,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-05,2630.08,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532563,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-10,4541.61,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532564,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-17,2287.07,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532565,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-24,1159.26,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532566,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-25,127.12,0.00,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532567,,,ORG,Action Network,,,,,,1900 L St NW,Ste 900,Washington,DC,200365005,,,2024-10-18,5000.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532568,,,ORG,Action Network,,,,,,1900 L St NW,Ste 900,Washington,DC,200365005,,,2024-10-21,2274.60,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532569,,,ORG,Action Network,,,,,,1900 L St NW,Ste 900,Washington,DC,200365005,,,2024-10-21,5000.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532570,,,ORG,Action Network,,,,,,1900 L St NW,Ste 900,Washington,DC,200365005,,,2024-10-21,5000.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532571,,,ORG,Action Network,,,,,,1900 L St NW,Ste 900,Washington,DC,200365005,,,2024-10-22,200.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532572,,,ORG,Action Network,,,,,,1900 L St NW,Ste 900,Washington,DC,200365005,,,2024-11-25,1000.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532573,,,ORG,Action Network,,,,,,1900 L St NW,Ste 900,Washington,DC,200365005,,,2024-11-25,3000.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00868976,500532574,,,ORG,Action Network,,,,,,1900 L St NW,Ste 900,Washington,DC,200365005,,,2024-11-25,1000.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
