form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00868976,500532623,,,CCM,ADAM GRAY FOR CONGRESS,,,,,,400 Capitol Mall,Ste 2400,Sacramento,CA,958144428,G2024,,2024-10-18,2500.00,0.00,Contribution,,C00801431,,,GRAY,ADAM,C.,,,,,,,,,,,,,
SB23,C00868976,500532624,,,CCM,ALTMAN FOR CONGRESS,,,,,,PO Box 267,,Lambertville,NJ,085300267,G2024,,2024-10-23,2500.00,0.00,Contribution,,C00841643,,,ALTMAN,SUSAN,COPIUS,,,,,,,,,,,,,
SB23,C00868976,500532625,,,CCM,CHRISTINA BOHANNAN FOR CONGRESS,,,,,,PO Box 722,,Iowa City,IA,522440722,G2024,,2024-10-18,2500.00,0.00,Contribution,,C00787820,,,BOHANNAN,CHRISTINA,,,,,,,,,,,,,,
SB23,C00868976,500532640,,,CCM,COMMITTEE TO ELECT JARED GOLDEN,,,,,,PO Box 7108,,Lewiston,ME,042437108,G2024,,2024-10-18,2500.00,0.00,Contribution,,C00653816,,,GOLDEN,JARED,,,,,,,,,,,,,,
SB23,C00868976,500532626,,,CCM,COOKE FOR CONGRESS,,,,,,PO Box 1846,,Eau Claire,WI,547021846,G2024,,2024-10-18,2500.00,0.00,Contribution,,C00844993,,,COOKE,REBECCA,,,,,,,,,,,,,,
SB23,C00868976,500532628,,,PAC,DASS PAC,,,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,200037508,G2024,,2024-10-18,5000.00,0.00,Contribution,,C00785584,DASS PAC,,,,,,,,,,,,,,,,,
SB23,C00868976,500532629,,,PTY,DCCC,,,,,,430 S Capitol St SE,Fl 2,Washington,DC,200034024,G2024,,2024-10-18,30000.00,0.00,Contribution,,C00000935,DCCC,,,,,,,,,,,,,,,,,
SB23,C00868976,500532630,,,CCM,DEREK TRAN FOR CONGRESS,,,,,,10441 Stanford Ave,Unit 395,Garden Grove,CA,928425222,G2024,,2024-10-18,2500.00,0.00,Contribution,,C00851790,,,TRAN,DEREK,,,,,,,,,,,,,,
SB23,C00868976,500532631,,,CCM,EHASZ FOR CONGRESS,,,,,,1800 Byberry Rd,Unit 1336,Bensalem,PA,190204747,G2024,,2024-10-18,2500.00,0.00,Contribution,,C00791335,,,EHASZ,ASHLEY,,,,,,,,,,,,,,
SB23,C00868976,500532632,,,CCM,EMILIA SYKES FOR CONGRESS,,,,,,PO Box 1347,,Akron,OH,443091347,G2024,,2024-10-18,2500.00,0.00,Contribution,,C00801274,,,SYKES,EMILIA,,,,,,,,,,,,,,
