form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00438358,SB23.8308,,,PAC,ADRIAN SMITH FOR CONGRESS,,,,,,1126 AVENUE A,STE 6,SCOTTSBLUFF,NE,69361,P2024,,2023-12-14,1000.00,,,,C00412890,,,,,,,,,,,,,,,,,,
SB23,C00438358,SB23.8298,,,CAN,,Baldwin,Tammy,,,,633 W Wisconsin Ave,,Milwaukee,WI,53203,P2024,,2023-09-20,2000.00,,,,,,S2WI00219,,,,,,S,WI,02,,,,,,,,
SB23,C00438358,SB23.8300,,,CAN,,Barrasso,John,A,,,100 E B St Ste 2201,,Casper,WY,82601,P2024,,2023-11-02,1000.00,,,003,,,S6WY00068,,,,,,S,WY,,,,,,,,,
SB23,C00438358,SB23.8303,,,CCM,BOB CASEY FOR U.S. SENATE,,,,,,750 1ST STREET,"NE, SUITE 1070",WASHINGTON,DC,20002,P2024,,2023-11-07,1000.00,,,,,,,,,,,,,,,,,,,,,,
SB23,C00438358,SB23.8295,,,CAN,,Daines,Steve,,,,"410 1st Street SE, 2nd Floor",,Washington,DC,20003,P2026,,2023-09-20,3000.00,,,,,,S2MT00096,,,,,,S,MT,,,,,,,,,
SB23,C00438358,SB23.8290,,,IND,,Estes,Ron,,,,,,,,,P2024,,2023-08-15,2000.00,,,,,,,,,,,,,,,,,,,,,,
SB23,C00438358,SB23.8307,,,CCM,Friends of Sherrod Brown,,,,,,323 7th Street SE,,Washington,DC,20003,P2024,,2023-12-14,2000.00,,,,C00264697,,,,,,,,S,OH,,,,,,,,,
SB23,C00438358,SB23.8291,,,CAN,,Hassan,Margaret,,,,PO BOX 298,,CONCORD,NH,03302,P2024,,2023-09-01,3000.00,,,,,,S6NH00091,,,,,,S,NH,00,,,,,,,,
SB23,C00438358,SB23.8297,,,CCM,HEARTLAND VALUES PAC,,,,,,PO BOX 505,,SIOUX FALLS,SD,57101,,,2023-09-20,2000.00,,,,C00409003,,,,,,,,,,,,,,,,,,
SB23,C00438358,SB23.8302,,,PAC,HOOPS PAC,,,,,,PO BOX 3314,,PORTLAND,OR,97208,P2024,,2023-11-02,1000.00,,,,C00392738,,,,,,,,,,,,,,,,,,
SB23,C00438358,SB23.8288,,,CCM,JASON SMITH FOR CONGRESS,,,,,,"439 New Jersey Ave, SE",,Washington,DC,20003,P2024,,2023-07-31,3000.00,,,,C00541862,,,,,,,,H,MO,08,,,,,,,,
SB23,C00438358,SB23.8305,,,CCM,MIKE THOMPSON FOR CONGRESS,,,,,,413 New Jersey Ave SE,,Washington,DC,20003,P2024,,2023-11-07,1000.00,,,,C00326363,,,,,,,,H,CA,05,,,,,,,,
SB23,C00438358,SB23.8289,,,PAC,Moran Victory Committee,,,,,,PO BOX 541,,BELLEVILLE,KS,66935,P2024,,2023-08-15,2000.00,,,,C00616268,,,,,,,,,,,,,,,,,,
SB23,C00438358,SB23.8304,,,CCM,PEOPLE FOR PATTY MURRAY,,,,,,1602 Belle View Boulevard,#510,Alexandria,VA,22307,P2028,,2023-11-02,1000.00,,,,C00257642,,,,,,,,S,WA,00,,,,,,,,
SB23,C00438358,SB23.8299,,,PAC,S Corporation Assn,,,,,,"2021 L Street, NW, Suite 101-316",,Washington,DC,20036,,,2023-09-26,5000.00,,,,C00493312,,,,,,,,,,,,,,,,,,
